original_response_(S1),predicted_response_(S2),Grammatically_correctness_of_S2 (scale 1-5),Similarity_between_S1_and_S2_in_terms_of_meaning_and_provided_info (scale 1-5)
it must have been a hard day for you if you don t remember the address of your home 56_cadwell_street i was kidding don t crash me please,your home is at 10_ames_street,3,1
which appointment would you like the date for,your have is on,1,1
your friends house is on 5677_southwest_4th_street there is moderate_traffic on our way but we re just 1_miles away,jill s house is at 864_almanor_ln,3,1
you re welcome,you re welcome,5,5
it will be overcast today and stormy tomorrow in mountain_view,it will not be today in mountain_view today,1,3
you re welcome,you are welcome,5,5
ok initiating navigation,you re welcome,5,1
what city are you interested in the forecast for,what city are you interested in,4,3
no but palo_alto_cafe is just 1_miles away and has moderate_traffic so we should be able to get there quicker how does that sound,there is is,1,1
what city do you want the weather for,what city are you interested in,4,3
coupa s address is 394_van_ness_ave,coupa is located at 333_arbol_dr and the address is 465_arcadia_pl,4,3
moderate_traffic to coupa,the is is away and the_clement_hotel,1,1
it will snow in los_angeles tomorrow with a low of 70f and a high of 90f,it will not be in los_angeles los_angeles,3,3
no problem,you re welcome,5,5
in new_york it will be raining monday and tuesday snowing wednesday windy on thursday frost on friday dew on saturday and overcast on sunday,what city are you interested in weather for new_york,2,1
you re welcome patience,no problem,1,5
what city are you inquiring about,what city are you interested in,3,3
the weekly forecast does not show that there will be a blizzard in durham this week,there will be a blizzard blizzard in durham,1,2
what would you like to know about the weather in durham,it will not be in in in in,1,1
this week in cleveland the weather will be clear_skies on monday dew on tuesday stormy on wednesday drizzle on thrusday cloudy on friday overcast on saturday and raining on sunday,it will not be in cleveland cleveland this week,1,1
not a problem,you re welcome,5,5
you re very welcome,you re welcome,5,5
there is a safeway 2_miles away would you like to get its address,the nearest grocery_store is whole_foods which is 2_miles away,1,1
there is no_traffic on the 6_miles route to philz enjoy,there is a philz,1,3
yes the forecast calls for rain in new_york today,it will not rain in new_york today,3,2
what city would you like weather information about,it will not raining today in,3,1
philz serves coffee and is 6_miles away at 583_alester_ave,there is a starbucks nearby,3,1
no problem,you are welcome,5,5
you re welcome,you re welcome,5,5
safeway is at 452_arcadia_pl,the address is at 408_university_ave,3,1
the only route to stanford is reporting a road block but i am finding you the quickest route to 214_el_camino_real,you re welcome,5,1
the only route has moderate_traffic is that going to be okay,you re welcome,5,1
safeway is the only grocery_store listed it has moderate_traffic will that be ok,you re welcome,5,1
the only nearby hospital is stanford_express_care which is 5_miles away,the nearest hospital is from stanford_childrens_health which is 2_miles away,3,3
setting destination now,gps set welcome,3,4
there is currently a road_block_nearby on the 5_miles route to stanford_express_care,the is at 899_ames_ct at,1,1
you re welcome drive safely and take care,you re welcome,5,5
you re welcome,setting gps now,5,5
your meeting is on wednesday at 3pm in conference_room_100,your meeting is at 3pm at 10am,5,2
monday in fresno will have the highest_temperature of 90f,what will be be in in in on in,1,1
on thursday the temperature in alhambra will be low of 20f and high of 30f,there will be be in in alhambra on in,1,1
the agenda for your meeting is to discuss_the_merger,your meeting is meeting at 1pm,2,2
you re welcome,you are welcome,5,5
home is listed as 56 caldwell street,there is a is 1_miles away,3,1
you are welcome,you re welcome,5,5
happy to help,no problem,1,5
what city are you interested in,what city are you interested in,4,5
setting quickest route home now,there is a is away is away it s house,1,1
it appears as if there will be a low of 40f and a high of 50f,what city are you in in in,3,1
tomorrow in fresno it will rain,there will be be hail hail tomorrow in fresno tomorrow,2,2
no hail in fresno tomorrow there will be rain,no problem,1,1
you re welcome,you re welcome,5,5
anytime,you re welcome,5,5
until next time,no problem,1,5
for what city,what city are you interested in,3,2
it is cloudy in redwood_city today,it will not be snowing right now,5,1
hr will be at the friday meeting,the meeting is on friday at 10am,3,3
which location do you want to know the current temperature of,what city are you interested in,3,2
you are welcome,you re welcome,5,5
in downtown_chicago it will be humid on monday snow on tueday dry on wednesday frost on thursday drizzle on friday clear_skies on saturday and sunday,what days are you interested in,2,1
you are welcome,you are welcome,5,5
the temperature in alameda now is low 60f and high 80f,it will not be in alameda alameda alameda,1,2
it will not be warm in grand_rapids on saturday,it will not be warm in grand_rapids on,3,3
we re 3_miles away from topanga_mall and there is heavy_traffic on its way,the nearest mall is town_and_country,1,1
you will find topanga_mall at 171_oak_rd,the is is 383_university_ave,1,1
no it is not snowing in redwood_city today,not a problem,1,1
bye,you re welcome,5,5
setting navigation now,you re welcome,5,1
happy to help,you re welcome,5,5
you re welcome drive safely,you re welcome,5,5
i sent the fastest route on your gps drive carefully,gps set for safeway,3,4
is there a specific day you would like to know the weather for in new_york,what city are you interested in,3,1
it will be dry and between 30f - 50f friday in new_york,it is not in the weather in new_york,1,1
there is a safeway 4_miles away,sigona_farmers_market is at 408_university_ave,1,1
safeway is located at 452_arcadia_pl with a road_block_nearby,the address is 408_university_ave,2,1
you re welcome,you re welcome,5,5
you are welcome,you re welcome,5,5
no problem,bye,5,5
which one i have two one with your father on the_3rd and one with tom on the_9th,your doctor_appointment is scheduled for 3pm at 3pm,3,1
the nearest one is midtown_shopping_center but there is a road_block_nearby there is also ravenswood_shopping_center 2_miles farther but with no_traffic on its direction,the nearest mall is from away at away,2,1
setting directions to 434_arastradero_rd,the is is away,1,1
what city do you wanna know if it will snow today,what city are you want the,1,3
today is gonna be warm in oakland,it will not snow snow for oakland today,2,1
the appointment on the_9th is at 3pm,you are welcome,5,1
no problem,you re welcome,5,5
no problem,you are welcome,5,5
tomorrow in seattle is looking warm with a low of 70f and a high of 90f no sign of fog,it will not be foggy in today today or tomorrow,3,1
what city are you wanting to know the weather for,what city are you interested in,4,3
okay what city should i look in,what city are you want the weather for,4,3
home is where is your heart is at 56_cadwell_street,home is 1_miles away,4,2
during the week it will be cloudy in grand_rapids only today,the weather forecast for rain in grand_rapids next_week,3,2
you re welcome always happy to help,you re welcome,5,5
no problem,no problem,5,5
glad i could help out,you re welcome,5,5
i sent the info on your screen drive carefully,you re welcome,5,1
you are 3_miles away from home with heavy_traffic noted,the address is 56_cadwell_street,1,1
what city do you want the weather forecast for,what city do you want the weather for,4,3
your doctorappointment is scheduled for friday at 11am,your doctorappointment is at 1pm,3,3
you are welcome driver,you re welcome,5,5
there is a shopping_center 3_miles from you the address is 338_alester_ave would you like directions,the topanga_mall is 2_miles away,3,1
glad to help,you re welcome,5,5
setting navigation to the midtown_shopping_center there is a car_collision_nearby so drive carefully,the address is 383_university_ave,1,1
there will be heavy_traffic sorry,i sent the route on your screen drive carefully,5,1
chef_chu_s is the only chinese_restaurant but here is heavy_traffic,there is a is away away away away away away away,1,1
are you talking about the doctor_appointment on wednesday or the one on the_5th,your have two doctor_appointment scheduled one at on one at with with with and on one at on one at with with and on one at on one at on one at on one at with,1,2
your doctor_appointment on the_5th is at 6pm with alex,you re welcome,5,3
chef_chu_s is at 593_arrowhead_way,chef_chu_s is located at 593_arrowhead_way,2,3
today in downtown_chicago there should be hail with a high of 70f,it will not be be downtown_chicago in today,2,3
your doctor_appointment on wednesday is at 7pm with your father,your doctor_appointment is on on at on,1,3
you re welcome,you re welcome,5,5
you will find pizza_chicago at 915_arbol_dr it is 2_miles away without any traffic,pizza_my_heart is the only pizza is 4_miles away and there is no_traffic on the route to the address,1,2
the nearest pizza_restaurant with no_traffic is 3_miles away at 113_anton_ct do you want to go to the round_table,the nearest pizza_restaurant is round_table 4_miles away with no_traffic,3,2
fastest route being programmed for pizza_chicago,pizza_my_heart is welcome,1,3
it is located 2_miles away with moderate_traffic en route,there is a car_collision_nearby,5,
i have located a parking_garage 2_miles away at 880_ames_ct called webster_garage,there is a parking_garage 1_miles away,3,
you re welcome,you re welcome,5,5
no problem,you re welcome,5,
you re welcome,you re welcome,5,5
there is moderate_traffic on our way and you should be able to reach there fast i sent all the info on your screen drive carefully,the address is 214_el_camino_real,2,1
what city do you need the 2 day temperature for,what city are you interested in,3,3
it is cloudy right now in cleveland,it will not be cloudy in cleveland today,3,2
the palo_alto_medical_foundation is 4_miles away at 611_ames_ave would you like directions there,the closest hospital is stanford_childrens_health at is,2,2
you re welcome,you re welcome,5,5
you re welcome,you re welcome,5,5
in grand_rapids it will be 50f - 70f today and 20f - 40f tomorrow,it will not be grand_rapids in grand_rapids tomorrow,2,2
you re welcome,you re welcome,5,5
your next meeting is on monday at 7pm with the infrastructure_team to go_over_budget,the next meeting is at 1pm,1,1
i have two which one i have one for the_14th at 6pm and one for the_12th at 7pm,your swimming_activity is at 3pm at 3pm,2,1
no the only route available has heavy_traffic i m sorry,the address is at away,1,1
whole_foods located at 819_alma_st is 1_miles away although there is a car_collision_nearby,the nearest grocery_store is willows_market which is 2_miles away,3,1
home is 5_miles away at 5671 barringer street,the nearest is is 1_miles away at away,3,1
sorry about it enjoy some music in the meantime,you re welcome,5,1
you re welcome,no problem,1,5
anytime,you have two swimming_activity scheduled one on monday at 10am and one on the_20th with tom and one on the_20th,1,1
then let s go at palo_alto_garage_r i sent the info on your screen,setting navigation now,5,1
chef_chu_s is 5_miles away,chef_chu_s is 1_miles away at 593_arrowhead_way,3,3
the current route is the quickest,there is no_traffic to whole_foods,4,1
yes i have one listed that is 1_miles away,there is a parking_garage 1_miles away,4,1
gps set happy to assist you,gps set the gps to the gps is set,1,3
there is currently no_traffic,chef_chu_s is located at 593_arrowhead_way,1,1
you are welcome,you re welcome,5,5
you re welcome,you re welcome,5,5
your lab_appointment is at 7pm with jon and another one at 2pm with alex,your lab_appointment is on the_8th at 7pm,3,2
you have two dentist_appointment one with your aunt and one with your sister both on monday,your dentist_appointment is on the_3rd at 10am with your sister,3,3
what city are you wanting to know the weather for,what city are you interested in,3,3
glad i can assist you,you are welcome,5,5
you have two swimming_activity scheduled one on wednesday at 5pm and the other on the_5th at 4pm,your have a doctorappointment,3,1
no problem,you are welcome,5,5
anytime,you re welcome,5,5
in los_angeles it is going to be hot today with a low of 40f and a high of 60f tomorrow will be rainy with a low of 40f and a high of 60f,in los_angeles it will be cloudy today and tomorrow,4,2
coupa is 1_miles away with heavy_traffic it shouldn t take us long it s located at 394_van_ness_ave,there is no_traffic to starbucks,3,1
what day would you like the forcast for,it will not be dry in redwood_city,4,1
there are no starbucks around here but we re 4_miles away from cafe_venetia is it okay to go there,the nearest starbucks is 1_miles away,4,2
i sent the address with the fastest route on screen drive carefully,the is is 792_bedoin_street,1,1
i am unable to locate starbucks there is a coffee_or_tea_place called coupa miles away,there nearest starbucks is starbucks,2,1
you re welcome,you re welcome,5,5
it will not be dry in redwood_city next_week,it will not be dry in redwood_city,4,3
my pleasure,you are welcome,5,5
setting navigation to 1313_chester_ave now there is a road_block_nearby so drive carefully,the address is 638_amherst_st away is at,1,1
hacienda_market is the closest grocery_store 1_miles away,the nearest grocery_store is willows_market which is 2_miles away,3,1
the weather forecast predicts that it will be stormy in los_angeles on sunday,it will not be windy in los_angeles on sunday,3,1
where are you wanting to know if it s going to rain or not,it will not rain in in,2,1
it is not going to rain in san_francisco this week,it is not predicted to rain in san_francisco,2,2
you are welcome,you re welcome,5,5
no problem,anytime,1,5
no problem,you re welcome,5,5
navigating to palo_alto_garage_r,there is a is at away,1,1
for which one i have two one at 7pm the_8th and one at 10am the_1st,your dentist_appointment is on the_3rd at 10am with at on and on on,2,1
monday will be foggy with low s of 30f and high s of 40f similar heh,it will not be cloudy in manhattan on monday,3,1
there s a parking_garage 2_miles away would you like the name and address of it,the nearest is is 1_miles away at away,2,1
what city are you asking about,what city are you interested in,3,3
you re welcome,you are welcome,5,5
no problem,you re welcome,5,5
no problem,you re welcome,5,5
you have four yoga_activity scheduled one on monday with alex two on friday with sister and one with marie and one on the_17th with martha,your yoga_activity is yoga_activity scheduled one at 9am with marie and one on the_16th at 10am with your aunt,3,2
your next tennis_activity is on the_4th at 5pm with your mother,your next tennis_activity is on monday at 7pm,3,3
the weather in cleveland on thursday will have dew and a high of 30f,what city are you in cleveland cleveland,3,3
i did and i sent the info on your screen drive carefully,you re welcome,5,1
the nearest hotel is hotel_keen it s 3_miles away do you want its address,the nearest hotel is the_westin 4_miles away,3,2
you are welcome,you are welcome,5,5
anytime,you re welcome,5,5
glad i can help,you are welcome,5,5
your tennis_activity is set for 11am with jon in attendance,your tennis_activity is scheduled for tennis_activity with your mother,3,3
what city would you like to know the weather about,what city are you interested in,3,3
i picked the best route for you drive carefully,you re welcome,5,1
it is not predicted to drizzle any today or tomorrow in durham,it will not drizzle in durham today,3,2
578_arbol_dr there is no_traffic and you should arrive in a couple minutes,hotel_keen is at 578_arbol_dr,3,1
you re welcome,you re welcome,5,5
anytime,you re welcome,5,5
happy to help,you are welcome,5,5
in san_mateo it will be stormy on saturday and hail on sunday,what city are you in in,2,1
yes it is,the is is 383_university_ave and the route to the address,1,1
it will be warm in san_francisco tomorrow it should not be windy,it will not be windy in san_francisco san_francisco,3,1
we are 3_miles away from town and county shopping_center does it sound good to you,the closest mall is town_and_country,3,1
town_and_country is located at 383_university_ave,the is is 383_university_ave and the route to the address,1,1
you re welcome,you are welcome,5,5
no problem,you re welcome,5,5
have a good day,town_and_country is welcome,1,1
the route to 773_alger_dr set to the quickest possible,you re welcome,5,1
stanford_shopping_center is the only nearby shopping_center,the topanga_mall is 2_miles away at 773_alger_dr,3,2
dew is predicted in danville on thursday,there will be be clear_skies in danville on thursday,2,2
there is a car_collision_nearby stanford_shopping_center,the is is 383_university_ave,1,1
what city do you want to know if it s going to rain or not,what city are you interested in,3,3
you re welcome,you re welcome,5,5
there is no rain in fresno today but it will be cloudy,you are welcome,5,1
you are welcome,you re welcome,5,5
you have 4 doctor_appointment scheduled marie on the_15th your brother on wednesday your mother on the_20th and ana on the_12th,your doctor_appointment is scheduled for one at 2pm,2,2
the one at 6pm with jon is on the_11th,your next dinner event is on friday at 5pm,3,1
there is no starbucks listed locally but i have another coffee shop listed would you like the address to it,the nearest starbucks is 1_miles away,3,1
glad i can help,you are welcome,5,5
the destination is 4_miles away in no_traffic,you re welcome,5,5
my pleasure goodbye,you are welcome,5,5
then let s go at cafe_venetia 269_alger_dr,there is no starbucks,5,1
anytime,you are welcome,5,5
you are welcome,you re welcome,5,5
the_clement_hotel is 8_miles away at 657_ames_ave,the nearest hotel is the_westin 4_miles away,3,1
there is currently moderate_traffic on the way to the hotel setting directions now,the is is the four_seasons,2,1
what city can i give you this weather information for,there will not snow in in in,2,1
it will not be warm in compton on wednesday,it will not be warm in compton on,3,3
snow is predicted to fall in san_jose on thursday this week,it will not snow in san_jose on,3,2
you re welcome,you re welcome,5,5
you are very welcome,you re welcome,5,5
i did i did you re welcome,you re welcome,5,4
safeway is located at 452_arcadia_pl and navigation is set,the address is 792_bedoin_street,3,1
the nearest grocery_store is located 6_miles away at 452_arcadia_pl,the nearest grocery_store is 1_miles away at away would you like directions there,3,2
what location do you want to know if it will snow,what city do you want the weather for,4,3
your doctor_appointment is on monday at 2pm,your doctorappointment is at 1pm,3,3
it will snow on tuesday in mountain_view,it will not snow snow in mountain_view,4,2
anytime,you are welcome,5,5
no problem,anytime,1,5
i m sorry the only route home has heavy_traffic it will be a 7_miles drive to 10_ames_street,the address is 56_cadwell_street,3,1
your dinner is on tuesday with your sister,your dinner dinner is scheduled one with alex,1,2
there is not gonna be any blizzard this week in alhambra on tuesday it will rain,it will not be be in alhambra in,1,3
you have two yoga_activity scheduled one on monday at 5pm and another on the_5th at 4pm,your yoga_activity is yoga_activity scheduled one at 9am with marie and one on tuesday at 4pm,3,3
you re very welcome,you re welcome,5,5
have a great day,you are welcome,5,5
you are very welcome,you re welcome,5,5
you re welcome,you are welcome,5,5
it will not be foggy in fresno in the coming days,it is not foggy in fresno today today and tomorrow,3,3
it will not drizzle in cleveland tomorrow,there will not be drizzle in cleveland tomorrow,3,5
for what city would you like today and tomorrow s weather for,what city do you want the weather for,4,3
what location do you want me to check if it will be rainy,what city are you want to know if it will rain,1,1
next_week it will rain on saturday in los_angeles,it will not be rain in los_angeles los_angeles,3,1
you re welcome,you re welcome,5,5
anytime,you re welcome,5,5
no problem,anytime,1,5
your next appointment with your optometrist is tuesday at 11am,your eye is at 1pm on thursday at 2pm,1,1
you have four football_activity scheduled one on monday at 6pm with alex one on the_13th at 9am with alex one on wednesday at 1pm with jeff and one on saturday at 5pm with ana,your football_activity is scheduled for football_activity,1,2
what city do you want the weather for,what city do you want the weather for,3,3
where should i check for snow,what city are you interested in,4,2
no problem my driver,you re welcome,5,1
there are no clouds in fresno right now,it will not be cloudy in fresno right now,4,3
anytime,no problem,5,5
there will be no snow in corona this week,it will not snow snow in corona corona,3,4
what city are you wanting to know the temperature for,what city are you interested in,4,4
the address is 383_university_ave i sent it on your screen,you re welcome,5,1
setting gps for fastest route with no_traffic,you re welcome,5,1
navigating you to town_and_country,the nearest mall is at away it s is,1,1
you re welcome and we should be there soon,goodbye,5,1
no problem,you re welcome,5,1
it will be between 60f - 70f today and 30f - 40f tomorrow in seattle,it will not be in in in in,1,1
you re welcome,you are welcome,5,5
i ve set the gps to stanford_shopping_center 773_alger_dr it s 2_miles away,the nearest shopping_center is town_and_country,1,3
what city would you like the 7 day forecast for,what city do you want the weather for,4,3
what city are you wanting to know if it s going to rain,it will not rain rain in,1,1
it should not be humid in compton next_week,it will not be humid in compton,2,3
it will rain on wednesday in redwood_city,it will rain on saturday in redwood_city,3,2
no problem so long,you re welcome,5,5
anytime,you are welcome,5,5
you re welcome,you re welcome,5,5
you have 3 optometrist_appointment scheduled one with marie on the_2nd martha on saturday and your brother on the_16th,your optometrist_appointment is optometrist_appointment scheduled one at 9am with marie and one on the_18th at 9am,1,3
it will be stormy and hailing in san_francisco in the next two_days,it will not be warm in san_francisco san_francisco,3,3
there isn t any traffic to pizza_my_heart at 528_anton_ct it will be a 6_miles drive,the nearest pizza_restaurant is round_table away 4_miles away,4,2
quickest route with no_traffic set for pizza_my_heart have a great day,setting navigation now,5,1
where are you interested in,what city are you interested in,5,3
in camarillo it will be stormy on tuesday,it will not be stormy in camarillo camarillo,3,3
you re welcome,you are welcome,5,5
happy to help,you re welcome,5,5
panda_express is at 842_arrowhead_way with no_traffic noted,the address is at is at there is no_traffic,1,1
there is a panda_express 3_miles from you as well as a pizza_hut 5_miles from you,there is a is from away away,1,1
i sent the info on your map drive carefully,setting navigation to panda_express now,4,1
no problem,you re welcome,5,5
