original_response_(S1),predicted_response_(S2),Grammatically_correctness_of_S2 (scale 1-5),Similarity_between_S1_and_S2_in_terms_of_meaning_and_provided_info (scale 1-5)
your agenda for your meeting today is go_over_budget,your next is is at 1pm,3,1
is there a specific day you would like me to check the weather in grand_rapids for,in new_york is grand_rapids 60f 60f in 60f,2,1
you have an optometrist_appointment today at 1pm,your next doctorappointment is at 1pm,2,3
stanford_express_care is nearby,stanford_childrens_health is stanford_express_care away,2,3
the travelers_lodge is located 4_miles away at 333_arbol_dr would you like directions there,hotel_keen is the_westin is the_clement_hotel,2,1
you re welcome,you re welcome,5,5
you re welcome,you re welcome,5,5
no problem,you re welcome,5,3
it must have been a hard day for you if you don t remember the address of your home 56_cadwell_street i was kidding don t crash me please,your address is 10_ames_street at 5671_barringer_street,5,1
you re welcome,you re welcome,5,5
you re welcome,you re welcome,5,5
tomorrow will not be hot in atherton it will be dry low of 30f high of 50f,it will not be hot in in in,3,3
palo alto is located at 436_alger_dr,the address is 792_bedoin_street 436_alger_dr,5,4
it will be overcast today and stormy tomorrow in mountain_view,in grand_rapids it will be tomorrow today overcast on monday 80f - 40f 90f on tuesday 80f - 60f 100f - 70f on wednesday 80f - 80f thursday 90f - 100f - 100f 60f - 100f on sunday 90f - 60f 90f - 40f on sunday 90f - 70f 80f on sunday 90f - 40f 60f on saturday 90f - 70f 100f on sunday 80f - 40f,3,2
coupa is nearby and serves tea,there is a comfort_inn away,1,1
currently you are taking_medicine on two occasions one is on the_13th at 4pm with your mother the other is on monday at 11am with marie,you have two one at at 11am,1,3
what city are you asking about,what city do you want the weather for,5,5
your friends house is on 5677_southwest_4th_street there is moderate_traffic on our way but we re just 1_miles away,there is a away away,2,1
which appointment would you like the date for,your next is is at at at 1pm,3,1
what city do you want to hear the forecast for,what city do you want the weather for,5,5
palo_alto_cafe is 4_miles away and serves coffee and tea do you want the address,there is a starbucks nearby,5,1
ok initiating navigation,you re welcome,5,1
not a problem,you re welcome,5,3
you re very welcome,you are welcome,5,5
you re welcome patience,you re welcome,5,5
no but palo_alto_cafe is just 1_miles away and has moderate_traffic so we should be able to get there quicker how does that sound,there is a route to 394_van_ness_ave,2,1
no problem,you re welcome,5,3
the weekly forecast does not show that there will be a blizzard in durham this week,it will not be blizzard in in in,2,1
coupa s address is 394_van_ness_ave,the address is 578_arbol_dr 394_van_ness_ave,3,3
moderate_traffic to coupa,unfortunately there is moderate_traffic,5,4
it will snow in los_angeles tomorrow with a low of 70f and a high of 90f,in will be tomorrow be overcast 80f - 40f 90f 70f - 100f 60f 80f - 100f 40f on monday 90f - 60f 30f on wednesday 80f - 40f 100f - 100f thursday 90f - 60f 60f - 100f friday 60f - 70f 90f - 40f sunday 80f - 70f 90f - 70f,3,3
what would you like to know about the weather in durham,the temperature in will be overcast overcast - 40f 90f 80f,2,1
this week in cleveland the weather will be clear_skies on monday dew on tuesday stormy on wednesday drizzle on thrusday cloudy on friday overcast on saturday and raining on sunday,in it will be week cleveland on monday 90f - 80f tuesday 40f - 100f 60f - 70f wednesday 80f - 100f thursday 90f - 60f - 40f 70f - 100f friday 90f - 60f 100f - 100f sunday 90f - 40f 90f - 60f,3,1
in new_york it will be raining monday and tuesday snowing wednesday windy on thursday frost on friday dew on saturday and overcast on sunday,the weather forecast for new_york rain in new_york,3,1
what city are you interested in the forecast for,what city do you want the weather for,5,5
what city are you inquiring about,what city do you want the weather for,5,5
what city do you want the weather for,what city do you want the weather for,5,5
you re welcome,you re welcome,5,5
setting destination now,gps set to set,3,5
you re welcome drive safely and take care,you re welcome,5,5
safeway is the only grocery_store listed it has moderate_traffic will that be ok,the is is at 819_alma_st,2,1
the only route to stanford is reporting a road block but i am finding you the quickest route to 214_el_camino_real,setting navigation to 899_ames_ct 214_el_camino_real,3,4
the only route has moderate_traffic is that going to be okay,i sent the route to no_traffic,5,1
you re welcome,you re welcome,5,5
no problem,you re welcome,5,3
there is currently a road_block_nearby on the 5_miles route to stanford_express_care,the is is at 611_ames_ave,3,1
safeway is at 452_arcadia_pl,the address is 638_amherst_st 452_arcadia_pl,4,4
there is no_traffic on the 6_miles route to philz enjoy,setting navigation to 6_miles,5,4
yes the forecast calls for rain in new_york today,it will not be today in in in,3,1
the only nearby hospital is stanford_express_care which is 5_miles away,stanford_childrens_health is palo_alto_medical_foundation is away at stanford_express_care,4,1
there is a safeway 2_miles away would you like to get its address,the nearest grocery_store is whole_foods away,3,1
what city would you like weather information about,what city do you want the weather for,5,5
philz serves coffee and is 6_miles away at 583_alester_ave,there is a starbucks away philz away,3,1
until next time,you are welcome,5,3
you re welcome,you are welcome,5,5
no hail in fresno tomorrow there will be rain,it will be rain on in on,3,3
your meeting is on wednesday at 3pm in conference_room_100,you have two scheduled one at meeting at 1pm with management,3,1
anytime,you re welcome,5,3
you re welcome,you re welcome,5,5
tomorrow in fresno it will rain,there will be hail in in be in,3,1
happy to help,you re welcome,5,5
setting quickest route home now,there is no_traffic the quickest route to home,5,3
you are welcome,you re welcome,5,5
what city are you interested in,what city do you want the weather for,5,5
monday in fresno will have the highest_temperature of 90f,the weather in will be week in,2,1
on thursday the temperature in alhambra will be low of 20f and high of 30f,there will be be thursday in in in,2,3
it appears as if there will be a low of 40f and a high of 50f,the forecast in will be wednesday in manhattan on wednesday,2,1
the agenda for your meeting is to discuss_the_merger,your next is is at 1pm,1,1
home is listed as 56 caldwell street,home is at 5671_barringer_street,4,1
bye,no problem,5,4
you are welcome,you re welcome,5,5
you re welcome drive safely,you re welcome,5,5
setting navigation now,there is a topanga_mall but i sent the best route on your screen,5,1
you are welcome,you re welcome,5,5
happy to help,you re welcome,5,5
you will find topanga_mall at 171_oak_rd,its address is 383_university_ave 338_alester_ave i sent the best route on your screen,5,1
no it is not snowing in redwood_city today,no problem,5,1
the temperature in alameda now is low 60f and high 80f,it will be 40f in in,4,2
in downtown_chicago it will be humid on monday snow on tueday dry on wednesday frost on thursday drizzle on friday clear_skies on saturday and sunday,in the temperature will be 90f - 40f 60f 80f - 100f 70f,3,1
for what city,what city do you want the weather for,5,4
it will not be warm in grand_rapids on saturday,it will not be warm in in in,4,4
hr will be at the friday meeting,your next is is on 1pm at 7pm,2,1
it is cloudy in redwood_city today,it will not be in in in,2,1
we re 3_miles away from topanga_mall and there is heavy_traffic on its way,the nearest midtown_shopping_center is stanford_shopping_center away,3,1
which location do you want to know the current temperature of,what city do you want the weather for,5,3
you re welcome,you re welcome,5,5
no problem,no problem,5,5
i sent the fastest route on your gps drive carefully,i sent the route to safeway on your screen drive carefully,5,5
setting directions to 434_arastradero_rd,setting navigation to 383_university_ave,5,1
no problem,you re welcome,5,3
it will be dry and between 30f - 50f friday in new_york,there will be friday in in in,3,2
the appointment on the_9th is at 3pm,you are welcome,5,1
no problem,you are welcome,5,3
today is gonna be warm in oakland,it will be snow in in,3,1
you are welcome,you re welcome,5,5
safeway is located at 452_arcadia_pl with a road_block_nearby,638_amherst_st is at 452_arcadia_pl,4,3
which one i have two one with your father on the_3rd and one with tom on the_9th,you have two doctor_appointment at at 11am,5,1
the nearest one is midtown_shopping_center but there is a road_block_nearby there is also ravenswood_shopping_center 2_miles farther but with no_traffic on its direction,the nearest is away at away,3,1
is there a specific day you would like to know the weather for in new_york,what city are you the weather for,5,5
what city do you wanna know if it will snow today,what city do you want the weather for,5,1
there is a safeway 4_miles away,there is a sigona_farmers_market away,3,4
no problem,you are welcome,5,3
glad to help,you are welcome,5,5
you re welcome always happy to help,you re welcome,5,5
i sent the info on your screen drive carefully,setting navigation to now,5,1
you are welcome driver,you re welcome,5,5
tomorrow in seattle is looking warm with a low of 70f and a high of 90f no sign of fog,it will not be foggy in in in,4,3
glad i could help out,you re welcome,5,1
you are 3_miles away from home with heavy_traffic noted,setting navigation to 5671_barringer_street now,5,1
setting navigation to the midtown_shopping_center there is a car_collision_nearby so drive carefully,the is located at 383_university_ave,3,1
during the week it will be cloudy in grand_rapids only today,it will be cloudy in 70f in 60f,5,3
what city are you wanting to know the weather for,what city do you want the weather for,5,5
okay what city should i look in,what city do you want the weather for,5,5
what city do you want the weather forecast for,what city do you want the weather for,5,5
your doctorappointment is scheduled for friday at 11am,your next is is at 1pm at 7pm,2,1
home is where is your heart is at 56_cadwell_street,there is a away away,2,1
there is a shopping_center 3_miles from you the address is 338_alester_ave would you like directions,midtown_shopping_center is stanford_shopping_center away,2,1
you re welcome,you re welcome,5,5
you re welcome,you re welcome,5,5
your doctor_appointment on the_5th is at 6pm with alex,your will be on your at the_5th,3,3
fastest route being programmed for pizza_chicago,there is 915_arbol_dr the route to the quickest route,3,1
there will be heavy_traffic sorry,i navigation to set the quickest route to carefully,5,1
no problem,you re welcome,5,3
you re welcome,no problem,5,5
your doctor_appointment on wednesday is at 7pm with your father,your apartment is on wednesday at 10am with 11am,3,2
chef_chu_s is at 593_arrowhead_way,the is is at 113_arbol_dr,2,1
it is located 2_miles away with moderate_traffic en route,there is 2_miles the route to webster_garage,2,3
you will find pizza_chicago at 915_arbol_dr it is 2_miles away without any traffic,pizza_my_heart is 776_arastradero_rd away at 528_anton_ct,1,1
today in downtown_chicago there should be hail with a high of 70f,in it will be today 80f 70f on monday 90f - 40f 60f - 100f 40f on wednesday 80f - 60f 100f - 100f thursday 60f - 40f 90f - 100f friday 80f - 60f 100f - 40f sunday 90f - 70f 80f - 70f,5,1
the nearest pizza_restaurant with no_traffic is 3_miles away at 113_anton_ct do you want to go to the round_table,the is pizza_chicago is at 776_arastradero_rd away,2,1
are you talking about the doctor_appointment on wednesday or the one on the_5th,your next is scheduled on 1pm at 7pm,3,1
chef_chu_s is the only chinese_restaurant but here is heavy_traffic,there is a panda_express away chef_chu_s,5,3
i have located a parking_garage 2_miles away at 880_ames_ct called webster_garage,stanford_oval_parking is dish_parking away,2,1
you re welcome,you re welcome,5,5
you re welcome,you re welcome,5,5
you re welcome,you re welcome,5,5
anytime,you are welcome,5,5
sorry about it enjoy some music in the meantime,you re welcome,5,3
there is moderate_traffic on our way and you should be able to reach there fast i sent all the info on your screen drive carefully,setting navigation to 214_el_camino_real now,5,1
your next meeting is on monday at 7pm with the infrastructure_team to go_over_budget,your next meeting is scheduled on meeting at 1pm,5,2
in grand_rapids it will be 50f - 70f today and 20f - 40f tomorrow,in grand_rapids it will be 80f be 70f 30f 90f - 40f 60f 100f - 80f 70f,2,3
no the only route available has heavy_traffic i m sorry,setting directions to home now,5,2
you re welcome,you re welcome,5,5
i have two which one i have one for the_14th at 6pm and one for the_12th at 7pm,your next is on the_3rd at 4pm sister,5,1
what city do you need the 2 day temperature for,what city do you want the weather for,5,1
it is cloudy right now in cleveland,it will not be cloudy in in in,3,1
the palo_alto_medical_foundation is 4_miles away at 611_ames_ave would you like directions there,stanford_childrens_health is stanford_express_care is away at 214_el_camino_real,5,1
whole_foods located at 819_alma_st is 1_miles away although there is a car_collision_nearby,the nearest grocery_store is whole_foods away,3,1
home is 5_miles away at 5671 barringer street,there is a away away but there is a car_collision_nearby,4,1
anytime,you are welcome,5,5
you are welcome,you re welcome,5,5
you re welcome,you re welcome,5,5
then let s go at palo_alto_garage_r i sent the info on your screen,the address is 610_amarillo_ave,5,1
gps set happy to assist you,setting navigation to 271_springer_street,5,3
glad i can assist you,you are welcome,5,2
the current route is the quickest,i sent the route to the quickest route,5,5
no problem,you are welcome,5,3
in los_angeles it is going to be hot today with a low of 40f and a high of 60f tomorrow will be rainy with a low of 40f and a high of 60f,in it will be today be tomorrow 40f - 80f 90f 100f - 60f 80f 90f - 100f 40f on monday 60f - 80f 70f on wednesday 40f - 100f 90f - 60f thursday 70f - 100f 100f - 70f friday 60f - 40f 60f - 80f sunday 90f - 30f 90f - 40f,4,3
there is currently no_traffic,there is no_traffic the route to moderate_traffic,2,4
what city are you wanting to know the weather for,what city do you want the weather for,5,5
chef_chu_s is 5_miles away,there is a panda_express away chef_chu_s,5,1
your lab_appointment is at 7pm with jon and another one at 2pm with alex,your lab_appointment is on lab_appointment on the_8th at 7pm,3,3
you have two dentist_appointment one with your aunt and one with your sister both on monday,you have two dentist_appointment scheduled one on the_3rd at 1pm with tom and one on the_8th at 4pm with martha,5,3
yes i have one listed that is 1_miles away,dish_parking is palo_alto_garage_r away,3,3
you have two swimming_activity scheduled one on wednesday at 5pm and the other on the_5th at 4pm,your next doctorappointment is at 1pm,5,1
you re welcome,you re welcome,5,5
coupa is 1_miles away with heavy_traffic it shouldn t take us long it s located at 394_van_ness_ave,the is located at 792_bedoin_street,5,1
no problem,you re welcome,5,3
i sent the address with the fastest route on screen drive carefully,there is a route to cafe_venetia,5,2
you are welcome,you re welcome,5,5
setting navigation to 1313_chester_ave now there is a road_block_nearby so drive carefully,the is is at 452_arcadia_pl,3,1
it is not going to rain in san_francisco this week,it will be rain in in in,2,1
my pleasure,you are welcome,5,5
no problem,you re welcome,5,5
it will not be dry in redwood_city next_week,it will be dry in in in,3,1
where are you wanting to know if it s going to rain or not,what city do you want the weather for,5,4
what day would you like the forcast for,it will not be dry in in in,3,1
there are no starbucks around here but we re 4_miles away from cafe_venetia is it okay to go there,there is starbucks nearby,5,1
the weather forecast predicts that it will be stormy in los_angeles on sunday,it will not be windy in in in,3,3
hacienda_market is the closest grocery_store 1_miles away,there is a whole_foods away,5,1
i am unable to locate starbucks there is a coffee_or_tea_place called coupa miles away,there is starbucks nearby,5,1
i did and i sent the info on your screen drive carefully,setting navigation to 864_almanor_ln now,5,1
no problem,you re welcome,5,3
you are welcome,you are welcome,5,5
no problem,you re welcome,5,3
navigating to palo_alto_garage_r,setting navigation to 830_almanor_ln,5,3
you re welcome,you are welcome,5,5
anytime,you re welcome,5,5
glad i can help,you are welcome,5,5
monday will be foggy with low s of 30f and high s of 40f similar heh,it will be cloudy on in on tuesday,4,2
you have four yoga_activity scheduled one on monday with alex two on friday with sister and one with marie and one on the_17th with martha,your next yoga_activity scheduled on the_3rd at 4pm with tom,4,3
your next tennis_activity is on the_4th at 5pm with your mother,your next is scheduled on the_3rd at 1pm 7pm,2,1
there s a parking_garage 2_miles away would you like the name and address of it,the closest is at away,2,1
the weather in cleveland on thursday will have dew and a high of 30f,what city are you in the,2,1
for which one i have two one at 7pm the_8th and one at 10am the_1st,your next dentist_appointment is on the_3rd at 1pm 11am,2,1
what city are you asking about,what city do you want the weather for,5,1
the nearest hotel is hotel_keen it s 3_miles away do you want its address,the nearest the_westin is the_clement_hotel away,3,2
you re welcome,you re welcome,5,5
have a good day,you re welcome,5,5
anytime,you are welcome,5,5
i picked the best route for you drive carefully,i sent the route to 578_arbol_dr,3,4
town_and_country is located at 383_university_ave,the address is 383_university_ave 338_alester_ave,3,5
yes it is,the is to 383_university_ave at 338_alester_ave,3,1
it is not predicted to drizzle any today or tomorrow in durham,it will not be drizzle in in in,3,5
you re welcome,you are welcome,5,5
no problem,you re welcome,5,3
happy to help,you are welcome,5,5
578_arbol_dr there is no_traffic and you should arrive in a couple minutes,town_and_country is at 578_arbol_dr,4,4
in san_mateo it will be stormy on saturday and hail on sunday,what city would you like the weather for,5,1
your tennis_activity is set for 11am with jon in attendance,you have two scheduled one on the_3rd at 1pm with jeff and one on 4pm at 7pm with tom,3,1
what city would you like to know the weather about,what city do you want the weather for,5,5
it will be warm in san_francisco tomorrow it should not be windy,it will not be windy in in,3,4
we are 3_miles away from town and county shopping_center does it sound good to you,there is a away away but there is a car_collision_nearby,3,1
you re welcome,you re welcome,5,5
the route to 773_alger_dr set to the quickest possible,setting navigation to stanford_shopping_center,5,1
the destination is 4_miles away in no_traffic,you re welcome,5,1
you are welcome,you re welcome,5,5
my pleasure goodbye,you re welcome,5,5
then let s go at cafe_venetia 269_alger_dr,the address is 583_alester_ave,5,1
glad i can help,you re welcome,5,5
there is no rain in fresno today but it will be cloudy,there will be rain in in,2,1
there is a car_collision_nearby stanford_shopping_center,there is stanford_shopping_center on the route to 338_alester_ave,3,3
anytime,you re welcome,5,5
the one at 6pm with jon is on the_11th,your next yoga_activity is scheduled on jon at 7pm with tom,3,2
you have 4 doctor_appointment scheduled marie on the_15th your brother on wednesday your mother on the_20th and ana on the_12th,your next is on the_3rd at 1pm,2,1
stanford_shopping_center is the only nearby shopping_center,there is a midtown_shopping_center away,3,2
dew is predicted in danville on thursday,it will not be clear_skies in in in,2,1
there is no starbucks listed locally but i have another coffee shop listed would you like the address to it,there is starbucks nearby,5,1
what city do you want to know if it s going to rain or not,what city are you like the weather for,5,3
you are welcome,you re welcome,5,5
i did i did you re welcome,setting navigation to safeway now,5,1
you re welcome,you re welcome,5,5
you are very welcome,you re welcome,5,5
safeway is located at 452_arcadia_pl and navigation is set,the is is at 792_bedoin_street,2,1
no problem,you re welcome,5,3
there is currently moderate_traffic on the way to the hotel setting directions now,setting navigation to the_clement_hotel now,5,1
snow is predicted to fall in san_jose on thursday this week,it will be snow in san_jose on monday,5,3
it will snow on tuesday in mountain_view,it will be snow on in in,2,3
anytime,you are welcome,5,5
the_clement_hotel is 8_miles away at 657_ames_ave,hotel_keen is the_westin is away at the_clement_hotel,2,3
what city can i give you this weather information for,what city do you want the weather for,5,5
it will not be warm in compton on wednesday,it will not be warm in in in,2,4
what location do you want to know if it will snow,what city do you want the weather for,5,5
the nearest grocery_store is located 6_miles away at 452_arcadia_pl,the nearest grocery_store is whole_foods away,5,3
your doctor_appointment is on monday at 2pm,your next is is at 7pm,1,2
you re welcome,you re welcome,5,5
you re very welcome,you re welcome,5,5
it will not be foggy in fresno in the coming days,the weather in will be foggy in today,1,1
anytime,you re welcome,5,5
you are very welcome,you re welcome,5,5
have a great day,you re welcome,5,5
you re welcome,you re welcome,5,5
next_week it will rain on saturday in los_angeles,it will be rain in on,2,3
i m sorry the only route home has heavy_traffic it will be a 7_miles drive to 10_ames_street,home is located at 10_ames_street,4,2
no problem,you re welcome,5,3
your dinner is on tuesday with your sister,your next two is scheduled on the_3rd at 8pm with jeff and one on the_8th at 7pm with martha,4,2
there is not gonna be any blizzard this week in alhambra on tuesday it will rain,it will not be blizzard in in in,3,3
you have two yoga_activity scheduled one on monday at 5pm and another on the_5th at 4pm,you have two scheduled one on the_3rd at 1pm one on the_16th at 4pm with jeff and one on the_19th at 7pm with martha,5,1
for what city would you like today and tomorrow s weather for,what city do you want the weather for,5,3
it will not drizzle in cleveland tomorrow,it will not be drizzle in in in,2,5
what location do you want me to check if it will be rainy,what city do you want to know if it s going to rain,5,5
you re welcome and we should be there soon,you re welcome,5,5
you re welcome,you re welcome,5,5
no problem,you re welcome,5,3
the address is 383_university_ave i sent it on your screen,there is no_traffic on the route to,5,3
no problem my driver,you re welcome,5,5
anytime,you re welcome,5,5
it will be between 60f - 70f today and 30f - 40f tomorrow in seattle,in grand_rapids it will be 70f 40f on monday and 60f on tuesday 80f - 60f on wednesday 40f - 60f on thursday 90f - 100f on friday 70f - 100f on saturday 90f - 100f on sunday 90f - 40f on sunday,4,1
your next appointment with your optometrist is tuesday at 11am,your next is is at 3pm,3,1
setting gps for fastest route with no_traffic,there is a route to town_and_country,3,2
there are no clouds in fresno right now,it will be cloudy in rain in 90f,3,1
there will be no snow in corona this week,it will not be snow in in,3,5
what city are you wanting to know the temperature for,what city do you want the weather for,5,5
you have four football_activity scheduled one on monday at 6pm with alex one on the_13th at 9am with alex one on wednesday at 1pm with jeff and one on saturday at 5pm with ana,you have two scheduled one on the_8th at 7pm with jon and one on the_16th at 4pm with martha,5,1
where should i check for snow,what city do you want the weather for,5,5
what city do you want the weather for,what city do you want the weather for,5,5
navigating you to town_and_country,the nearest coffee shop is located at 347_alta_mesa_ave,5,1
quickest route with no_traffic set for pizza_my_heart have a great day,i sent the route to 6_miles,5,1
anytime,you re welcome,5,5
you re welcome,you re welcome,5,5
no problem so long,you re welcome,5,5
happy to help,you re welcome,5,5
it should not be humid in compton next_week,it will not be humid in in in,2,5
it will rain on wednesday in redwood_city,it will be rain on in on tuesday,3,2
you re welcome,you re welcome,5,5
in camarillo it will be stormy on tuesday,it will not be stormy in in in,2,1
it will be stormy and hailing in san_francisco in the next two_days,what city are you want the weather for,5,1
you have 3 optometrist_appointment scheduled one with marie on the_2nd martha on saturday and your brother on the_16th,you have two scheduled one on the_3rd at 7pm with martha and one on the_19th at 4pm with tom,5,1
there isn t any traffic to pizza_my_heart at 528_anton_ct it will be a 6_miles drive,there is a pizza_chicago away,5,2
what city would you like the 7 day forecast for,what city do you want the weather for,5,5
what city are you wanting to know if it s going to rain,what city do you want the weather for,5,4
i ve set the gps to stanford_shopping_center 773_alger_dr it s 2_miles away,there is a away away midtown_shopping_center away,4,4
where are you interested in,what city do you want the weather for,5,5
i sent the info on your map drive carefully,i sent the route on your screen drive carefully,5,5
panda_express is at 842_arrowhead_way with no_traffic noted,the address is 5671_barringer_street is 864_almanor_ln,5,1
no problem,you re welcome,5,3
there is a panda_express 3_miles from you as well as a pizza_hut 5_miles from you,there is a away away but there is a car_collision_nearby,3,1
