original_response_(S1),predicted_response_(S2),Grammatically_correctness_of_S2 (scale 1-5),Similarity_between_S1_and_S2_in_terms_of_meaning_and_provided_info (scale 1-5)
"they are a very good team , but probably only number at the moment","yes , they have a good",3,3
beat them both times they face them,i think they will be a good,3,1
"i'm familiar , i think it 's a good forward",i think,1,1
"yes , they have a really good opportunity",i think they will be a good,3,3
i also like that team but my favorite player is andres iniest,i think they will be a,4,1
i'm hoping there 's a chance of that,bayern munich will will be a good,3,1
i think eden hazard is a great forward,they are a good team,4,1
19m,he is,2,1
about 16 million,i think is the,1,1
messi is better,"yes , he is a good",4,1
de bruyne,i think they,3,1
because they have consistently played better,i is is a team,1,1
i think he 'll stay in the team the manager is a big fan of his,i will do n't think they will be a good,3,1
eden hazard,i think the,2,1
"yes , he scored",they have a good,3,1
"no , brazil is a better team than argentina",i think they are a good,3,1
better luck next time,they have a good,3,1
athletico have a chance but barcelona and real madrid will be hard to beat,"i think they , they have a chance",3,1
did they win last year \?,they have a good,3,1
cristiano ronaldo,i is is the best player,2,1
yes most competitive team,i is is the best,1,1
"yes , diego costa plays for atletico madrid",i think,3,1
they could have done better this world cup but they could certainly have done worse,"yes , they",1,1
they will have to work on improving to qualify,i think the,2,1
they should they have fancy footwork,i think the the the best,1,1
france is definitely the best,i is is the,1,1
yeah it is,i think is the best,1,1
there are great players on every team,i think is the best,1,1
"yes , i think it will be still the same coach in 2022","yes , they have a good",3,1
is 4 times world champion if good players can be classified,i think they are the the best,2,1
he scored 41 goals in just 64 appearances,he has scored goals goals,2,1
"i do not agree with this , neymar is a good player but the best in the brazilian team",i think is the,3,1
they did not win last year,they will win the,3,2
"it is possible that france will win the next world cup , but there are many variables and things could change by 2022","yes , they have a",2,1
"yes , here 's the reason they did n't qualify in 2018 , although this was the first time since 1958 anything can happen in sports !","yes , they have a good",3,1
i like brazil for its style of play and for the good players it has,i is is the best,1,1
"yes , as they won the final last time","yes , they have a good",3,1
very good team,i think they have a to win the world cup,2,1
what do you like about brazil \?,i think they are a good team,4,1
france has a lot of future with mbappe,i think they is the the the best,2,1
they certainly surprised a lot of people the way they play proved difficult for most teams to score on,they are a,1,1
that 's not a question,i think is the best,2,1
i like sigurdsson,i is,1,1
gylfi sigurdsson kari arnason olafur ingi skulason,"yes , they have a",2,1
yes i think that you are probably correct,i think they,2,1
traditionally their top scorere,he is is the best,3,1
iceland was an underdog in the last world cup,they have won the world cup,4,1
entertainment the best horror movies of 2018 \( so far \),i think is a team,2,1
if one of his best strikers is messi,"yes , they have a good",3,1
very good coach,i is is a good,2,3
yes but only on the history channel,i think is the best,3,1
lionel scaloni is the current coach,roberto martinez is the coach,3,3
"yes , they even beat the english team in the knockout rounds going farther than they ever have in a major tournament","yes , they have a",2,1
"i enjoy sporting movies , especially anything involving football",i is is the best,1,1
my favourite too,i think they,1,1
ronaldo makes juventus a lot better,they are the,2,1
"no , they have n't","yes , they have a",3,1
juventus needs ronaldo,i think they have a the the,1,1
what is the furthest that the switzerlabd team has ever nade it in the world cup \?,i think is the best,2,1
do you think the other players resent ronaldo 's fame \?,what is the the most of the teams \?,1,1
when did ospina join colombia \?,i is is the best,1,1
q1 its is cooling place \? a1 yes,i think they will be a good,1,1
who is the goal keeper for colombia \?,he is a great player,4,1
who is there top scorer of all time \?,i think they have a good,4,1
"more immigration seems to help the swiss team \( see akanji , embolo , shaqiri , xhaka , etc \)",i think the,1,1
i am not sure,i think,1,1
there 's no such thing as a dirty team,"yes , he is",2,1
"probably francesco totti , but i'm not sure",the,1,1
they have better players,i think they,3,1
james rodriguez,the,1,1
they played the villar perosa friendly today,i do you think they are a good team \?,1,1
probably harry maguire after his performance at the world cup,"yes , he is a great player",3,1
i disagree i think paris sg can afford n 'soki,i think they will be a,3,1
i think stanley n 'soki shows real potential,i think is the,1,1
totti is defintily the worst player and i do n't like him,the is the best player,1,1
"kylian mbape , the young star from the french world cup winning team is always a strong insurance policy",i think will be a good,3,1
i agree that it will,i do not think they will win the world cup,2,1
my favorite player is totti and the player with the most red balls is the genaro gatusso and the red card is when there is a serious fault,i think they will be the,2,1
8 32 million gbp,he has scored chelsea goals,1,1
"yes , it 's bad for one team to rely on a star like neymar , no matter how good he is we see how the pressure gets to them and hurts their confidence",i think the,2,1
he joined in 2014,he is a great player,5,1
he signed back there from chelsea last season,he is a very good,4,1
who is your favorite player \?,i think,2,1
when did diego costa start playing for atletico madrid \?,he is a great player,5,1
"even with the injuries to neymar last season psg were able to easily cruise to the title , mbappe should take a lot of pressure off of neymar",i think,2,1
griezmann,i is,1,1
who is their most expensive player \?,i think is a good team,1,1
i think so however we wo n't know until the season starts,"i , is the best",1,1
there were quite a few but the most expensive was gonzalo higuain from juventes,i think the,3,1
he is 26 years old,he is is the,1,1
"well , in addition to their domestic league and cup , ac milan qualified for the 2018 19 uefa europa league",i think he is a,3,1
yeah ! porto last won in 2004,"yes , they have the",2,1
jan oblak is one of the keepers for them,i is,1,1
yeah we are the best team,"yes , they",1,1
i think griezmann,i think the,3,1
when did they win \?,i think the the best,1,1
"if that is a question , yes he will e playing in seria a","yes , they is a",1,1
"no , i like them for the players they bring to the team in the past few years , their defense is really good",i think is the best,1,1
they have two griezmann and diego costa,i,1,1
portugal !,sergio ramos,5,1
"yes , cristiano just transferred to juventus","yes , he is the best",4,1
"yes , true me too",i do you think they are a good team \?,1,1
futebol clube,i think,2,1
one of the best players in the world he better increase the odds,they have a,2,1
"i think it 's jurgen klopp ,",the is the coach,1,1
in my opinion it may be that if,i think they,2,1
it depends one player alone does not make a whole team,i think they have a a lot of the world cup,4,1
in the last season they reached the final of the champions league,they think the,2,1
i think iceland became so strong thanks to the strong training,they have a,2,1
10 2 \? or am i thinking of 2016 \?,they have a,2,1
"definitely , they have been close a few times recently",i think they will be a good,3,1
real madrid will play atletico madrid for a cup on wednesday,i think is the best,1,1
iceland could qualify at any time,"yes , they have a",3,1
of course they will,i think will be a good,3,1
only one time,"yes , they",2,1
"on wednesday , august 15 , i think it 's your next game",i think,2,1
just once,they have won the world cup,3,1
probably not he has a history of injury,"no , they have a",3,1
a question for the ages,i is is the,1,1
lucien favre,the is the best player,4,1
i hear there favourite record is by a famous band called the village people ymca,i think is the,1,1
who does real madrid play after they play atletico madrid \?,i think the,2,1
zlatan ibrahimovic is the best swedish player ever,i is the,1,1
yes they have a history of success,they are the the the world cup,3,1
if they had,they have a good,3,1
zlatan is the best sweden player,i is is the best,1,1
i highly doubt that they can do better next time but i think they can do as well as the previous time,i think they will be a,3,1
jose pekerman,roberto mancini is the current coach,3,1
i would argue that implying they 're traditional means they are not adjusting well to the times,they have a the the world cup,1,1
what is sweden 's shirt colour \?,i is is the best,1,1
who 's sweden 's best player,"yes , they have a",2,1
if i like colombia and i want to see falcao in the same,i think they,2,1
"yes , he is",i think is the best,1,1
somewhere around 2000 's,they won,4,1
"i like colombia , go falcao !",i think they,2,1
yes of course i also think the same can be improved,i think they will be a good,3,1
they have very talent players and they ca n't put lot efforts,they have a good,3,1
yeah with uncle and nephew,"yes , they",2,1
please repeat the question,they have a good,3,1
they are placed 1st,i think is the,1,1
"yes , he still plays but he is not a goalkeeper",i is,1,1
i think they will,"yes , they have a",1,1
"little , a little , few and a few",they have they have a chance to win the world cup,3,1
"that is correct , burki is their goalkeeper",i is is the the best,1,1
liverpool is a pretty big team in england,he is the best player,3,1
roman weidenfeller,i is the the best,1,1
yes they have won it a few times,they have they won the world cup,3,1
"it is very good , how about chelseas \?",i think is the best,3,1
definitely virgil van dijk,i think they have a good,3,1
"it can be tiring , but te team is commonly refered to as just dortmund",i think is the best,1,1
witsel played all but one of belgium 's 2018 world cup,"yes , they have won the world cup",5,1
their secondary kit is light blue shirts with dark blue shorts,"yes , they have a",3,1
stopping the other team from scoring,they are,3,1
"fred , paul pogba , alexis sanchez",i think the,2,1
germany lacked basic skills this was the issue they over complicated their play,they are a good,3,1
atletico madrid typically wears a red and white striped shirt with blue shorts as their home uniform,what is the team \?,5,1
manchester 's colors are red and yellow,i think,2,1
not this year,i think will be a good,3,1
the coach did n't prepare his team well enough,they are a good,3,1
but it is less common for them to play and manage at the same time,i think they,2,1
"goalkeeper is definitely an important position , but , mathieson is still very good at what he does",i think is the best,1,1
is it common for managers to have been players \?,i think they will be a good,2,1
he did n't do a good job in the last world cup,i think is the the best,2,1
many would say stuart mathieson,i is is the best player,1,1
diego simeone is atletico madrid 's current manager,roberto martinez is the coach,4,1
are they better than athletico madrid \?,i think is the best,1,1
they should change their coach,i think they,2,1
excellent is the word eys,i think is the best player,2,1
juventus probably will be the more dominant team,i is,1,1
lukaku is great for manchester united because he is strong and scores goals,i think is the best,1,1
"yes , a lot of their squad members play club football in europe , including mane at liverpool and koulibaly at napoli","yes , is the best",1,1
what makes lukaku so great \?,i is is the best player,1,1
do senegal have many players in europe \?,what is the the coach \?,2,1
"real madrid could sign him to be on their team , what do you mean \?",he is a good,4,1
lukaku for sure,i is is the best player,1,1
who is senegal 's coach \?,they are a good,3,1
rm can sign him,he is a great player,3,1
killian mbappe,i is,1,1
will senegal win the african nations \?,the captain is the captain,1,1
they won it in 1984 and 2000,they won the world cup,3,1
"when the club was founded , their motto was forged in industry , striving for glory",i think,2,1
32 year old midfielder cheikh n 'doye,the is the best player,1,1
they have won twice,they won the,3,1
65000,they are,2,1
then he ca n't be that good,"no , they have a chance",4,1
"yes , they have some good marksmen up front",they have a good,2,1
"the real madrid stadium can hold 80 , 000 people its pitch measures 106 x 70 metres",i think,2,1
no there are some clubs founded in the 1860 's,i think is the best,1,1
no tienen mejores rivaes france,they have won the world cup,4,1
i do n't think he is anymore,i is is the best player,1,1
their home stadium is called the bernabeu,maurizio sarri,5,1
who 's the best player in italy \?,the is the best player,1,1
only the two but they have come close several times,they won,2,1
"turin , italy is the answer 120 years is the age november 1 , 1897",they are a good,2,1
they have a very white uniform and they have a very black uniform,they won the world cup,5,1
no,"yes , they have won the world cup",5,1
"turin , 1897",i think is the,1,1
yes 4 times,"yes , they have won the world cup",3,1
they have a very white uniform,i think,2,1
shaqiri may be their best player,i is is the best player,1,1
i was not able to find it but i did see that they only lost 6 home games in 6 years !,they have a good,2,1
they can win every team is able to win wc,i is is the best,1,1
what 's ac milan 's ground called,i think is the best,1,1
they have at least more wins than losses,i think they,2,1
i think that they do not play well enough at the moment to win,i think they will be a good,3,1
mention the best player of barcelona,the captain is the captain,1,1
he was traded to liverpool but he was a star,i is is the best,1,1
ac milan tied man u 1 1,"yes , they have a good",3,1
no player is compared to maradona,i is,1,1
7,they are,2,1
ac milan recently played against manchester united,they are,2,1
lionel messi,i think,2,1
italian club team ac milan plays in the serie a,diego simeone,5,1
many people like them,i is is the,1,1
"yeah , switzerland is awesome , especially with all their high altitude soccer i do n't know how they do it , but that ball never touches the ground when they play !",i think they,3,1
he has held a record and wants to be have that as his own retirement in history,i think the,1,1
for me isco is the best in spain at this time,i is is the best player,1,1
is ac milan a good team \?,i do you think the,1,1
this is not a question,i think is the best,2,1
is american football more popular than basketball \?,i think they,2,1
ramos and marcelo are older but still world class varane and carvajal are both just reaching their peaks,i think,2,1
motorsports,i think they,2,1
yea spain will do fine,i do n't think they will win the world cup,5,1
"i think he 's a decent player , but has poor sportsmanship",i is is the best player,2,1
messi,i think,2,1
"no , the united states will not have a chance for many years",i think they will be a good,3,1
i do not expect them to do much in their tier,i think is the best,1,1
barcelona can for sure beat real madrid,i think they,2,1
real madrid,i think,2,1
i think they will disappear from the top tier level of play,i think they are the,2,1
which team \?,i think they are a good team,4,1
yes you are right to win you need a good team,they are,2,1
"yes , ronaldo is not that good",i think they will be a good,3,1
lars lagerback,roberto martinez is the coach,4,1
gunnarso,i think,2,1
the best player in psg is neymar jr,i is is the best player,1,1
"after hurting salah in the champions league final , ramos is despised by the liverpool fans !",i think is the,1,1
who do you think is their best player \?,i think they,2,1
"yes easily , expect it to be at least 5 goals","yes , they have a",3,1
sergio ramos is one of the defenses of the world,i think they,2,1
who is paris sg 's stiffest competition \?,"yes , they will be a good",3,1
they really prove that practice is as important as athletic talent,i think is the,1,1
bale,i think,2,1
for sure they will be !,"yes , they are a",2,1
iceland players are very good players,they have a,2,1
no,they have the won the world cup,1,1
who is their best defender \?,i think they are a good,3,1
i think liverpool 's main rivals will be manchester united,i think,2,1
yes futbol,they have a the,1,1
"italy wo n't have a worst player , their team has to support each other all the time , as long as the team works then their play works",i think,2,1
really feeling sad just to know this,i think they,3,1
"klopp 's one of the most interesting managers in the league , and is an amazing fit for liverpool 's style and ethics he has the fans on his side for sure",i is is the,1,1
wikipedia shows their major training ground is in florence,i think,2,1
he scored an own goal,he is a,2,1
never been a fan of liverpool do n't like their players,i think they,3,1
i believe they received counselling,they are,3,1
italy never even qualified for the fifa world cup,i think they,2,1
"alexis sanchez , did n't like the way he left arsenal",i is is the best,1,1
"no , you do have to respect their talent","yes , they",3,1
andres escobar saldarriaga,i think the,2,1
italy won at least 3 matches,they have a good,3,1
my favorite player is their starting striker,the is the best,1,1
i did not see the game,"yes , they have a good",3,1
yes very talented but ok you do the same,"i think , he is a great player",5,1
james robson is the most talented because of the amazing goal he scored this season against west ham,i think is the best,1,1
he only just begun his international career this world cup,he has scored goals for the world cup,2,1
he is a good striker,he is is the best player,3,1
maxi gomez is 21 years old,he is is the best,3,1
he is not the best goalkeeper,i is is the best,1,1
he wanted to play for jose mourinho,he is a,2,1
franco armani,the is the best player,1,1
not as a starter anyways he would be 35 i expect maxi gomez to take his place,i think they will be a good,3,1
in argentina and in barcelona too,i think they will be,2,1
"john barnes played for liverpool in the late 80s and early 90s , he was black","yes , they",1,1
they offense is fast acting though,i is is the best,1,1
luis suarez,i is is the,1,1
lionel messi is argentina 's top goal scorer,the is the best player,1,1
have they ever had a black player \?,the captain,3,1
"yes , i like uruguay",i do you think they are a good team,1,1
they were originally named everton f c and athletic grounds ltd,i think the,1,1
real madrid plays excellently with their crop of players mixing speed with tiki taka and serious tenacity at all times,i think is the best,1,1
maybe he just wants to know the history of black players of the team he likes,i think is the best,1,1
i think it will be affected,i think is the best,1,1
because they suck,they have a have a chance to win the world cup,3,1
no,i think they,2,1
if for me it is also the best of all times,i is is the best,1,1
"even though q3 relates to liverpool , i do not understand how to answer q3",i think is the best,1,1
"yes , if it is available to win the world cup",i do n't think they will win,3,1
"it is easier to qualify for the european championship than the world cup , plus italy are typically a very goo team , so i believe they will",i think they will be the,2,1
uruguay is a good team that could have done more in this 2018 world cup,what do you like \?,3,1
"yes , cristiano ronaldo 's move from real madrid to juventis affected his reputation as a player think about if you moved from one neighborhood to another , obviously your reputation would be effected",i think they have a,3,1
i think balotelli is,he is the best player,5,1
roberto mancini is the current coach of italy,roberto martinez is the coach,4,1
pele is the best player of all time,i is,1,1
uruguay is okay but none of the players stand out,i do you think they will win the world cup \?,2,1
oscar tabarez is their manager,unai emery is the coach,2,1
3,they are,2,1
i wonder how he is too since he 's in contract till 2021,he is a good,3,1
do you think they lost the world cup because they sacked their manager a few days before \?,i think the best,3,1
"it 's always 11 players per team at a time , but they will also have substitute players etc",i think,1,1
"yes , it was very boring to watch them play but they deserved it",i think they,3,1
spain has great possession tactics,i think they will be a good,3,1
i dont like japan team,i think they,2,1
yes,i think they,2,1
"i agree , spain football is exciting",i think the,2,1
they are very precise and quick,i think is the,1,1
it 's rui pedro dos santos patricio,i is is the,1,1
cristiano ronaldo,i is is the best player,1,1
"no , i think spanish football is technical and exciting",i think the,2,1
japan is a team i like due to their clever passing football style,i do you think they are a good team \?,1,1
i dont,i is is a team,1,1
it grew out of a different environment into something unique,i think the,2,1
154 caps and 85 goals,he is,2,1
david alaba is one of the defenders,i is is the best player,1,1
professionally in 2002 buto,i is is the best,1,1
who is the coach for sweden \?,i think,1,1
friendly v hamburg on 15th august,i think will win the,2,1
what colours sweden 's kit,i think they,2,1
"varane is the next captain after cristiano and yes , he can make it , just have to make an effort","yes , they have a a chance",3,1
i think the winner will be real but bayern will get to semi finals,bayern munich will will be a good,2,1
"it was good enough , but not as good as comparing others",i think,1,1
who gets the arm band when ronaldo is done \?,i think is a good team,1,1
probably the semi 's,i think they will win the,2,1
he was good enough to be picked for sweden 's 2018 fifa world cup,i think is the best,1,1
"yes , cristiano ronaldo is the captain of portugal","yes , he is",2,1
berg,i think,1,1
"no , juventus will win the champions league","yes , they have a",2,1
"yes , they won last season it was the 3rd win in the last 4 seasons",they have a,2,1
if the best,what is the team \?,2,1
"yes , i'm sure of that",i do n't think they will win,4,1
is penarol uruguay 's best team \?,they have a,2,1
"no , they are not",i is is the best,1,1
maurizio sarri,roberto mancini is the current coach,3,1
there is a good possibility that they will but it is still between the 3 top teams in spain,they have a good,3,1
"uruguay team have a lot of players , but only 20 went to the world cup",i is is the the best,1,1
i do not think so because manchester city is very strong,i think they will be a good,1,1
2015,they won the,1,1
what about chelsea \?,they have won the world cup,3,1
"i am not sure , about the same numbers as most teams",i think,1,1
"like , a billion",they won,1,1
they only have one,i think is the,1,1
i think liverpool have a lot more potential going in to this next season than manchester united do,i think is the,1,1
they have a great history and arguably the best player in the world in lionel messi,i think,1,1
"yeah , ronaldo was messing up the whole cl , but now that he 's gone , it will be a different game",i think they will be a good,3,1
"yes , it was a terrible loss for brazil !","yes , they won the world cup",5,1
no way man !,i think will be a good,3,1
san siro stadium,they,1,1
yes they are a better squad usually but i think they let themselves down this time around,i is is the best,1,1
liverpool was at the final of the last champions league final,they have a,1,1
black and red,they have won the world,2,1
honesty,i think they,1,1
croatia is the better team,i think they,1,1
i think it was 25,they have won the world cup,4,1
liverpool has become an excellent team these last years,i think they will be the,3,1
"yes , they are a top team",i think they,2,1
"no , they have similar win rates playing between them",i think they,2,1
yes finishing third was extremely commendable and they had some very convincing wins,"yes , they have a good",3,1
milan look good this year,i think,1,1
only if you are argentina !,i think is the,2,1
belgium is the actual team and not a player,i think is the best,2,1
santiago bernabeu is the name of their stadium,diego simeone,5,1
gerardo martino is the coach,the is the coach,1,1
yes i think so,i think the the best,1,1
florentino perez is the chairman,diego simeone,5,1
"too long , think it should be a tad shorter",i think is the,1,1
santiago solari is the new coach,the coach is the coach,1,1
thomas vermaelen,the the the best,1,1
he is given rest to come back well,i think will be a good,2,1
in my opinion no ! there are many dangerous areas,i think they have a good,2,1
i think that they have a great future ahead of them,i think they will be a good,2,1
i do n't think it will make much difference,i think will be a good,2,1
mexico,i think is the best,2,1
i think they will,i think they will be a good,3,1
"no , he will not","no , i think they will be",3,1
i have no idea what that means,i think they,2,1
they are 5th,roberto martinez is the coach,4,1
their goalie,he is is the best player,3,1
i think he will score many assists,i think will be a good,1,1
2010 2011,what is the the team \?,2,1
is not well they did well last season,who is is the best player \?,5,1
what color is switzerland 's uniforms \?,i is is the,1,1
he was educated at the technical university of lisbon,i think,1,1
best swiss player \?,i is is the best,1,1
yes he did,i think,1,1
shaqiri,i is is the best player,1,1
"ac milan finished 4th in serie a , which is n't too bad",they think they,2,1
yes they are good,"yes , they is",1,1
who is the current manager of fc porto \?,i think they,2,1
what is so special about milan \?,who is the best player \?,5,1
what is their current strip \?,i think is the,1,1
"yes , they reached the round of 16 at the fifa world cup","yes , they is a",1,1
probably not they were n't in the top 10 last year,i do n't think they have a good,2,1
i still think bayern munich will win the title this season,they have a they have a chance to win the world cup,2,1
france it 's a very good team to play,i think the the the best,3,1
what better expectations does croatia have \?,"yes , they have a good",5,1
he managed real madrid and chelsea he currently manages manchester united,he is,1,1
slightly better than this year,i think they will be a good,2,1
gylfi sigurdsson,i think the,2,1
"i do n't know , i always thought he was a good player",he is is the best player,4,1
"no he is not dumb , i like him !",the is the best player,4,1
i do n't see why not,"yes , they have a good",3,1
i think el arabi hillel soudani scored,i think,1,1
robert lewandowski,i is,1,1
impressive victory,they have a,2,1
very good team,they are,2,1
france,the,1,1
bayern did amazing,bayern munich is a good team,4,1
belgiums stars are in their thirties,he is the,3,1
janne andersson,the is the coach is the coach,1,1
"belgium has strong elements such as its stars eden hazard , romelu lukaku and kevin de bruyne , which should have us strength defense and technique",i think they are the the best,3,1
he is a strong act to live up to,the is the best player,1,1
yes they 're definitely a better team than the u s,i think they they are the the,2,1
"the senegal players have potentials , we need to watch out for them in the african cup of nations","yes , they have a good",3,1
do you think they are better off without zlatan \?,i think they,3,1
senegal,i think they have a good,3,1
no i do n't,"yes , they have a",3,1
"totally , could n't agree more","yes , they have a",3,1
montreal impact,i is is the best,1,1
senegal needs to improve,they have,2,1
it sounds like a good way to spend a day !,i think they will be a good,3,1
so am i they scored a series of surprising wins during the world cup,i think,1,1
"no , senegal has never won a world cup","yes , they have won the world cup",4,1
my favorite player on paris sg is mbappe i loved watching him play in the world cup,i is is a good team,1,1
yes i would vote for him if he was the last man on earth,he is is the best,1,1
when was the last important game that senegal won \?,the is the best,1,1
i think so,i think is the best,1,1
messi seems to be a strong player on the field,i is is the best,1,1
i agree,i think is the best player,2,1
i think senegal wins the next african cup,i think they will be a good,1,1
who do you think is the best player of all time \?,i is is the best player,1,1
"nope , nigeria has been dominating senegal in the african cup of nations","yes , they have a",3,1
gylfi sigurdsson is their attacking midfielder,he is,2,1
he provides more for the team,he is a good,3,1
since 2013,he is a very good,3,1
2002,they have won the world cup,5,1
marcelo,i is is the best,1,1
gareth bale,i is the,1,1
quarter finals in a world cup,i think is the,2,1
erik hamren is the coach,i think,1,1
i agree that portugal would have gone further if he had more support,they are a very good team,3,1
lukaku is the third best player,i think is the best,1,1
yellow cards,i is is the best,1,1
he was their man point of attack and i think he would benefit from having more players surroudning him,i think is the best,2,1
yes he is good,i think they will be the,2,1
i believe the best players are hazard and de bruyne,i think the a team,1,1
yeah but we keep repeating it and hoping,he is,2,1
hannes halldorsson,the captain,5,1
they are just a team that embellishes fouls on the field often,i think they,2,1
16 goals that 's good who do you think the best player is from the belgium team \?,i think they,2,1
cristiano ronaldo was the captain of the 2018 world cup 5 goals,they have won the world cup,3,1
yeah always faking injuries,i think they,2,1
how many did belgium score this year \?,i think is the best,1,1
146,i think,1,1
cristiano ronaldo,i think,1,1
just fake ones it seems,i think they,2,1
"yes , and he is also the captain of the team",i is is the best,1,1
other teams ball,they are the the,2,1
"yes , i believe that he is the best in the team",i is is the best,1,1
"i think antuan griezmann , from atletico madrid",i is is the best,1,1
biliions probably,i think,1,1
difficult to say actually,i think,1,1
how did bvb do in their match against benfica \?,i think will be a good,2,1
i have to look up,i think is the best,1,1
almost every team in europe has a womens team,"yes , is the best",1,1
bvb needs to let less goals in and score more goals,i think they will be,3,1
every 7 years or so,i think,1,1
"it was founded on february 27 , 1900",bayern munich is a great team,2,1
the atletico de madrid,i think they,2,1
i think bvb dortmund will turn things around,i think is the the best,2,1
a good team indeed,i think they are the,2,1
"i like bayern munich , they are the best from germany",bayern munich is a good team,3,1
jose mourinho is the coach,the is the best player,4,1
"i believe they will stay loyal they may turn on the coach , some players , but in the end they will still support their team",i think is the best team,2,1
yeah spain has no chance,i think the the the best team,1,1
remember when they beat usa 4 1 \?,they is the,1,1
manchester uniuni has a strong following who does n't t to associate with a winner \?,i think they will be a good,3,1
"i agree , they could 've gone so much further",i think they will be a good,3,1
how does italy compare to the competition \?,i think is the best,1,1
i love to watch oatamendi,i is is the best,1,1
"yup , they won the world cup in 2018",they have a good,3,1
what do you think of italy 's uniforms \?,i think the best player,2,1
they have n't won the league since 2013 they 're just not that good without fergie,i think is the best team,1,1
yes i do,"no , they have a chance",3,1
zidane played for france,i is the best,1,1
zanetti is a pretty good defender for argentina,i,1,1
i think that they are over rated,i is is a team,1,1
i dont,i think is the best,1,1
by the hand of mbappe and paul pogba,they will be the the next world cup,2,1
yes they focus very much,"no , they have a",2,1
if i think i win more world,they have a the the team,1,1
i do ! they have many good players,i think is the,1,1
only if porta does n't show up,they have a good,3,1
"if he stays in liverpool , then yes",i think they will be a good,3,1
if i think they win the trophies,i think is a good,2,1
that is too far away to predict many things could change between now and then,they have a have a good chance,3,1
"they have a great team , the possibility is high",i think will be a good,2,1
would brazil play better without neymar \?,i think they have a good,3,1
absolutely jurgan klopp is an excellent leader and salah is the best goal scorer in the premier league,i think they have a,3,1
in this season currently in 2018,i think they,3,1
i think that brazil are better,i think they,3,1
i think it was a good thing for them,i think they,3,1
argentina can give them a run for their money,i do you think they are a good team \?,1,1
"juventus was good before but now that they added cristiano ronaldo , they 'll be a huge threat in the champions league",i is is a team,1,1
"yes , those are the colors","yes , they",2,1
"no , neymar is first not second place",i think the,2,1
russia was a good place for the world cup everything was first class and they were up to par,i think they have the the,1,1
sky blue and black,i,1,1
liverpool has a great header,i is is the best,1,1
neymar traditionally,i is is the best player,1,1
is salah a good header \?,they have,2,1
what time of year do you think its best to visit france \?,i is is the,1,1
"possibly , due to mohamed salah 's fantastic form recently",they have a good,3,1
"their efforts are good , but it should be a bit more ingenuous for situations like the one that was presented in the world cup with injured cavani",he is a good,3,1
the efl cup final between man united and southampton was pretty good,i think they,3,1
more than 50,they have won the world cup,3,1
"yes , oscar tabarez is uruguay 's head coach",they have a good,3,1
five,they have won the world cup,3,1
i'm not sure i have a favorite team right now,i is is the best,1,1
do n't know,roberto martinez is the coach,3,1
i think real madrid is the only team competing against barcelona,"i think , i think a great",1,1
overall good,i think is the best player,1,1
i'm not sure but we could calculate it given the player 's performance !,i think the best player,3,1
if i agree with that,i think they will be the,2,1
they will bounce back for sure,i think they are a,3,1
ernesto valverde without a doubt have you seen his stats \?,i think the,2,1
"no , they are not at that level this season",they have a the the team,1,1
forbes has ac milan 's net worth listed at 612 million,he is is the best,3,1
i would say about 80 odds of winning the championship this season they are killing it on the field and no other teams are even close right now,they are a very good team,2,1
i do n't think he did a good job with muslera,i is is the the best,1,1
ac milan beat internazionale in 2011 italian championship,they are,2,1
2011,they are,2,1
yes,i do n't think they will win the world cup,3,1
celso otero,the is the coach,2,1
definitely,i think they have a good,3,1
edinson cavani,the is the best player,2,1
is he in his all time best shape ever \?,he is the best,3,1
ronaldo is not on his prime anymore and he 's getting older,i think is the,1,1
absolutely it might take a while though,"no , they have the",3,1
his skill has been elavated only because of the supporting cast around him,i think is the best,1,1
i do n't think the portuguese teams will do that well in europe this season,i is is the best,1,1
that one guy that score the goals,sergio ramos is the best player,2,1
"griezmann is so overrated , he is nothing without the players around him",i think,1,1
23 players in the spain squad,i think the,1,1
i do not follow the primeira liga but it seems like porto is always coming over the top in portugal,they are the the,1,1
to me in general who liked me the most was hazard,i is is a team,1,1
are numerous to list for spain,they have a a chance,3,1
was there anyone you really did not like \?,i think,1,1
very good team,i think they will be a good,3,2
"my favorite player was kylian mbappe , he is an amazing player","no , i think",2,1
"fc porto has 37 wins , 8 draws and 6 losses in the 2017 2018 season",they are,2,1
italy are in a re building phase,i think they are the,3,1
did you know who is the goalkeeper of italy \?,they have the,2,1
stephane chapuisat may be their best striker historically,i think is the best,1,1
i 'd say portugal are within the top 10 of international football teams currently out there,i think is the best,1,1
i think they are overly emotional when it comes to their football team,they have the,2,1
ronaldo luis nazario de lima popularly known as ronaldo el fenomeno born in 1976,i is,1,1
i do n't think they have a chance of winning,i think they will win the,2,2
currently the italy goalkeeper is buffon,the current coach,3,1
3 1,they won the world cup,3,1
if they have been white and red for a long time,"yes , they have",2,1
italina always finds the way to go to the world,i think they,1,1
yes they won the last europcup,they have a good,3,1
karius has potential,i think they will be a good,3,1
red and white,i think,1,1
he was a good acquisition,i think is a good team,2,2
"no , portugal did n't win the world cup , francia wins",they have a good,2,1
hopefully they are not too wore out to play,i think they,2,1
he wont play now alisson is there,i think will be the,2,1
i think he has shown that he will get better in the future and with more guidance,i think they have a,2,1
salah would be a great striker to play for arsenal,"no , i think",1,1
how many assists did he provide this year \?,"yes , they are a",2,1
who is then \?,he is a good,3,1
i do n't think so there are betters manager than henry,i think is the,1,1
