original_response_(S1),predicted_response_(S2),Grammatically_correctness_of_S2 (scale 1-5),Similarity_between_S1_and_S2_in_terms_of_meaning_and_provided_info (scale 1-5)
"no , but they will be up there in rank",i think they have a good,3,1
perhaps they lack some overall depth,"yes , they have a good",3,1
antoine griezmann,"yes , they have a good",3,1
real madrid,i think,1,1
with barcelona,i think they have a good team,5,1
the stadium of juve is very modern like the santiago bernabeu are world class,i think is the best,1,1
"in europe \? i like liverpool , if you count the uk as europe",i think is the best,1,1
qauilifying for the ryder cup would be the jockey,i think they have a good,3,1
"yeah , you 're right",i think they have a good team,5,1
may be,i think they have a good team,5,1
"individual commitment to a group effort that is what makes a team work , a company work , a society work , a civilization work vince lombardi",i think they have a good,3,1
"yes , on 7 28 they won 4 1","yes , they have a good",3,1
i think that liverpool will be the better team,"yes , they have a good",3,1
i have no affection for them i just know too little about them,i think they have a good team,5,1
"senegal was founded with the name of sport club juventus , initially as an athletics club , 10 it is the second oldest of its kind still active in the country after genoa 's football section \( 1893 \)",i think they have a good team,5,1
who is the best all time player \?,i think they have a good,3,1
they are pretty popular but a lot of people do n't enjoy them,"yes , they have a good player",5,1
not much i would say,"yes , they have a good",3,1
their world cup debute was in 1934,i think they have a good team,5,1
i do n't think they were in finals,i think they have a good team,5,1
i believe sweden only got the quarterfinals,i think they have a good,3,1
that is a difficult question for a national team,i think is the best,1,1
they play in yellow and blue,i think is the best,1,1
who is your favorite player \?,i think they have a good team,5,1
i also like that team but my favorite player is andres iniest,i think they have a good team,5,2
isco,i think is the best,1,1
"again , isco for sure !",i think they have a good player,5,2
who said they are getting a new manager,"yes , they have a good",3,1
i'm hoping there 's a chance of that,i think they have a good team,5,1
beat them both times they face them,i think they have a good team,5,1
practice twice as much,i think they have a good,3,1
of course and the biggest arena,"yes , they have a good",3,1
"i'm familiar , i think it 's a good forward",i think they have a good team,5,1
probably because big fans need a big arena,"yes , they have a good",3,1
"yes , they have a really good opportunity",i think they have a good team,5,1
"they are a very good team , but probably only number at the moment",i think they have a good,3,3
a bayern munich,i think they have a good,3,1
they have won 28 national titles and 18 national cups,"yes , they have a good",3,1
the odds against the bayern in the final are high,"yes , they have a good",3,1
i think eden hazard is a great forward,i think they have a good team,5,1
"yes , he scored",i think they have a good,3,1
eden hazard,i think they have a good,3,1
de bruyne,"yes , they have a good",3,1
"yes , diego costa plays for atletico madrid",i think they have a good team,5,1
athletico have a chance but barcelona and real madrid will be hard to beat,i think they have a good team,5,1
i think he 'll stay in the team the manager is a big fan of his,i think they have a good,3,1
about 16 million,"yes , they have a good",3,1
19m,"yes , they have a good",3,1
cristiano ronaldo,i think is the best,1,2
they could have done better this world cup but they could certainly have done worse,i think they have a good team,5,1
better luck next time,i think they have a good team,5,1
"no , brazil is a better team than argentina",they have a good player,5,2
because they have consistently played better,"yes , they have a good player",5,1
messi is better,"yes , they have a good",3,2
yes most competitive team,i think they have a good,3,2
did they win last year \?,i think they have a good,3,1
they did not win last year,i think they have a good,3,1
he scored 41 goals in just 64 appearances,"yes , they have a good",3,1
what do you like about brazil \?,i think they have a good team,5,1
i like brazil for its style of play and for the good players it has,i think they have a good team,5,1
"i do not agree with this , neymar is a good player but the best in the brazilian team",i think is the best,1,1
there are great players on every team,i think is the best,1,1
yeah it is,"yes , they have a good",3,3
very good team,i think they have a good team,5,2
"yes , here 's the reason they did n't qualify in 2018 , although this was the first time since 1958 anything can happen in sports !",i think they have a good team,5,1
is 4 times world champion if good players can be classified,i think they have a good,3,1
they should they have fancy footwork,i think they have a good,3,1
they will have to work on improving to qualify,"yes , they have a good",3,1
"yes , as they won the final last time",i think they have a good team,5,1
"it is possible that france will win the next world cup , but there are many variables and things could change by 2022",i think they have a good team,5,1
"yes , i think it will be still the same coach in 2022",i think they have a good,3,1
france is definitely the best,i think they have a good,3,1
france has a lot of future with mbappe,"yes , they have a good",3,1
"i enjoy sporting movies , especially anything involving football",i like the best,2,1
yes but only on the history channel,i think they have a good team,5,1
entertainment the best horror movies of 2018 \( so far \),i think is the best,1,1
yes i think that you are probably correct,i think is the best,1,1
that 's not a question,i think they have a good,3,1
"yes , they even beat the english team in the knockout rounds going farther than they ever have in a major tournament",i think they have a good team,5,1
iceland was an underdog in the last world cup,i think they have a good team,5,1
gylfi sigurdsson kari arnason olafur ingi skulason,i think they have a good,3,1
lionel scaloni is the current coach,i think is the best,1,1
i like sigurdsson,"yes , they have a good",3,1
they certainly surprised a lot of people the way they play proved difficult for most teams to score on,"yes , they have a good",3,1
my favourite too,i think they have a good team,5,1
very good coach,i think is the best,1,1
if one of his best strikers is messi,i think is the best,1,1
traditionally their top scorere,"yes , they have a good",3,1
they have better players,i think they have a good team,5,1
"more immigration seems to help the swiss team \( see akanji , embolo , shaqiri , xhaka , etc \)",i think they have a good team,5,1
q1 its is cooling place \? a1 yes,i think they have a good,3,1
what is the furthest that the switzerlabd team has ever nade it in the world cup \?,i think is the best,1,1
"no , they have n't","yes , they have a good",3,1
they played the villar perosa friendly today,i think,1,1
i am not sure,i think they have a good team,5,1
do you think the other players resent ronaldo 's fame \?,i think they have a good,3,1
juventus needs ronaldo,"yes , they have a good",3,1
ronaldo makes juventus a lot better,"yes , they have a good",3,1
james rodriguez,i think they have a good team,5,1
there 's no such thing as a dirty team,i think they have a good team,5,1
who is there top scorer of all time \?,i think they have a good,3,1
who is the goal keeper for colombia \?,"yes , they have a good",3,1
when did ospina join colombia \?,"yes , they have a good",3,1
"probably francesco totti , but i'm not sure",i think they have a good team,5,1
who is your favorite player \?,i think they have a good team,5,1
my favorite player is totti and the player with the most red balls is the genaro gatusso and the red card is when there is a serious fault,i think is the best,1,2
i agree that it will,"yes , they have a good player",5,1
totti is defintily the worst player and i do n't like him,"yes , they have a good player",5,1
who is their most expensive player \?,i think they have a good team,5,1
when did diego costa start playing for atletico madrid \?,i think they have a good team,5,1
he signed back there from chelsea last season,i think they have a good team,5,1
he joined in 2014,i think is the best,1,1
8 32 million gbp,i think is the best,1,1
"even with the injuries to neymar last season psg were able to easily cruise to the title , mbappe should take a lot of pressure off of neymar",i think they have a good team,5,1
"yes , it 's bad for one team to rely on a star like neymar , no matter how good he is we see how the pressure gets to them and hurts their confidence",i think they have a good team,5,1
"kylian mbape , the young star from the french world cup winning team is always a strong insurance policy",i think they have a good,3,1
i think stanley n 'soki shows real potential,"yes , they have a good player",5,1
i disagree i think paris sg can afford n 'soki,"yes , they have a good player",5,1
probably harry maguire after his performance at the world cup,"yes , they have a good player",5,1
griezmann,i think,1,1
they have two griezmann and diego costa,i think is the best,1,1
i think griezmann,i think they have a good,3,1
jan oblak is one of the keepers for them,"yes , they have a good",3,1
he is 26 years old,"yes , they have a good",3,1
futebol clube,i think they have a good team,5,1
portugal !,i think they have a good team,5,1
when did they win \?,i think they have a good,3,1
yeah we are the best team,"yes , they have a good",3,3
yeah ! porto last won in 2004,i think they have a good,3,1
"yes , true me too",i think they have a good team,5,1
"no , i like them for the players they bring to the team in the past few years , their defense is really good",i think they have a good team,5,1
"well , in addition to their domestic league and cup , ac milan qualified for the 2018 19 uefa europa league",i think they have a good,3,1
there were quite a few but the most expensive was gonzalo higuain from juventes,"yes , they have a good",3,1
i think so however we wo n't know until the season starts,"yes , they have a good",3,1
"yes , cristiano just transferred to juventus",i think they have a good team,5,1
"if that is a question , yes he will e playing in seria a",i think they have a good team,5,1
"definitely , they have been close a few times recently",i think they have a good,3,1
it depends one player alone does not make a whole team,"yes , they have a good",3,1
one of the best players in the world he better increase the odds,"yes , they have a good",3,1
probably not he has a history of injury,i think they have a good team,5,1
of course they will,i think they have a good team,5,1
10 2 \? or am i thinking of 2016 \?,i think they have a good,3,1
in the last season they reached the final of the champions league,"yes , they have a good",3,1
"i think it 's jurgen klopp ,","yes , they have a good",3,1
just once,i think they have a good team,5,1
only one time,i think they have a good team,5,1
iceland could qualify at any time,i think they have a good,3,
i think iceland became so strong thanks to the strong training,"yes , they have a good",3,1
in my opinion it may be that if,"yes , they have a good",3,1
a question for the ages,i think is the best,1,1
"on wednesday , august 15 , i think it 's your next game",i think they have a good team,5,1
real madrid will play atletico madrid for a cup on wednesday,i think they have a good team,5,1
lucien favre,"yes , they have a good",3,1
if they had,i think they have a good,3,1
who does real madrid play after they play atletico madrid \?,"yes , they have a good",,1
"yes , he is",i think is the best,1,1
i would argue that implying they 're traditional means they are not adjusting well to the times,i think they have a good team,5,1
yes they have a history of success,i think they have a good,3,1
i hear there favourite record is by a famous band called the village people ymca,"yes , they have a good",3,1
somewhere around 2000 's,i think they have a good team,5,1
who 's sweden 's best player,i think they have a good team,5,2
what is sweden 's shirt colour \?,i think is the best player,1,1
zlatan is the best sweden player,"yes , they have a good player",5,2
zlatan ibrahimovic is the best swedish player ever,"yes , they have a good player",5,1
"i like colombia , go falcao !",i think they have a good team,5,2
if i like colombia and i want to see falcao in the same,i think they have a good team,5,2
jose pekerman,i think they have a good,2,1
i highly doubt that they can do better next time but i think they can do as well as the previous time,i think they have a good,2,1
yes of course i also think the same can be improved,"yes , they have a good",2,1
witsel played all but one of belgium 's 2018 world cup,i think they have a good team,5,1
yes they have won it a few times,i think they have won the world cup,5,1
"little , a little , few and a few",i think they have a good,3,1
please repeat the question,"yes , they have a good player",5,1
they have very talent players and they ca n't put lot efforts,"yes , they have a good",3,1
"it can be tiring , but te team is commonly refered to as just dortmund",i think is the best,1,1
roman weidenfeller,i think is the best,1,1
"that is correct , burki is their goalkeeper",i think is the best,1,1
"yes , he still plays but he is not a goalkeeper","yes , they have a good",3,1
yeah with uncle and nephew,"yes , they have a good",3,1
definitely virgil van dijk,i think they have a good team,5,1
"it is very good , how about chelseas \?",i think they have a good,3,1
liverpool is a pretty big team in england,i think is the best,1,1
i think they will,"yes , they have a good",3,1
they are placed 1st,"yes , they have a good",3,1
they should change their coach,i think they have a good team,5,1
he did n't do a good job in the last world cup,i think is the best,1,1
the coach did n't prepare his team well enough,i think they have a good,3,1
germany lacked basic skills this was the issue they over complicated their play,i think they have a good,3,1
stopping the other team from scoring,"yes , they have a good",3,1
many would say stuart mathieson,i think,1,1
"goalkeeper is definitely an important position , but , mathieson is still very good at what he does",i think is the best,1,2
not this year,i think they have a good,3,1
"fred , paul pogba , alexis sanchez","yes , they have a good",3,1
diego simeone is atletico madrid 's current manager,i think,1,1
manchester 's colors are red and yellow,"yes , they have a good",3,1
is it common for managers to have been players \?,i think is the best,1,1
but it is less common for them to play and manage at the same time,i think they have a good,3,1
atletico madrid typically wears a red and white striped shirt with blue shorts as their home uniform,i think they have a good,3,1
their secondary kit is light blue shirts with dark blue shorts,"yes , they have a good",3,1
are they better than athletico madrid \?,i think they have a good team,5,1
killian mbappe,i think they have a good,3,1
rm can sign him,i think they have a good,3,1
"real madrid could sign him to be on their team , what do you mean \?","yes , they have a good",3,1
juventus probably will be the more dominant team,"yes , they have a good",3,1
"when the club was founded , their motto was forged in industry , striving for glory",i think they have a good team,5,1
lukaku for sure,"yes , they have a good player",5,3
what makes lukaku so great \?,"yes , they have a good player",5,3
lukaku is great for manchester united because he is strong and scores goals,"yes , they have a good player",5,2
they won it in 1984 and 2000,i think they have a good team,5,1
excellent is the word eys,"yes , they have a good player",5,1
32 year old midfielder cheikh n 'doye,i think,1,1
will senegal win the african nations \?,i think is the best,1,1
who is senegal 's coach \?,i think they have a good,3,1
do senegal have many players in europe \?,"yes , they have a good",3,1
"yes , a lot of their squad members play club football in europe , including mane at liverpool and koulibaly at napoli","yes , they have a good",3,1
they have won twice,i think they have a good team,5,1
yes 4 times,i think they have a good team,5,1
only the two but they have come close several times,i think they have won the world cup,5,1
no tienen mejores rivaes france,"yes , they have a good",3,1
"yes , they have some good marksmen up front","yes , they have a good",3,1
no,i think they have a good team,5,1
who 's the best player in italy \?,i think they have a good player,5,1
i do n't think he is anymore,i think is the best,1,1
then he ca n't be that good,"yes , they have a good player",5,1
they have a very white uniform,i think they have a good team,5,1
they have a very white uniform and they have a very black uniform,i think they have a good team,5,1
their home stadium is called the bernabeu,i think they have a good team,5,1
"the real madrid stadium can hold 80 , 000 people its pitch measures 106 x 70 metres","yes , they have a good",3,1
65000,"yes , they have a good",3,1
"turin , 1897",i think is the best,1,1
"turin , italy is the answer 120 years is the age november 1 , 1897",i think they have a good team,5,1
no there are some clubs founded in the 1860 's,i think is the best,1,1
they have at least more wins than losses,"yes , they have a good",3,1
i was not able to find it but i did see that they only lost 6 home games in 6 years !,"yes , they have a good",3,1
many people like them,i think they have a good team,5,1
lionel messi,i think they have a good,3,2
7,i think they have a good,3,1
no player is compared to maradona,i think they have a good,3,1
mention the best player of barcelona,i think they have a good,3,1
"yeah , switzerland is awesome , especially with all their high altitude soccer i do n't know how they do it , but that ball never touches the ground when they play !",i think they have a good team,5,1
he was traded to liverpool but he was a star,i think they have a good,3,1
i think that they do not play well enough at the moment to win,i think they have a good,3,1
they can win every team is able to win wc,"yes , they have a good",3,1
shaqiri may be their best player,"yes , they have a good",3,1
italian club team ac milan plays in the serie a,i think,1,1
ac milan recently played against manchester united,i think they have a good team,5,1
ac milan tied man u 1 1,i think they have a good team,5,1
what 's ac milan 's ground called,i think they have a good,3,1
is ac milan a good team \?,"yes , they have a good",3,1
real madrid,i think they have a good team,5,1
barcelona can for sure beat real madrid,i think they have a good team,5,1
messi,i think they have a best player,5,1
"i think he 's a decent player , but has poor sportsmanship",i think they have a good player,5,1
ramos and marcelo are older but still world class varane and carvajal are both just reaching their peaks,i think they have a good,3,1
which team \?,i like the best,2,1
"no , the united states will not have a chance for many years",i think they have a good team,5,1
motorsports,i think they have a good team,5,1
is american football more popular than basketball \?,i think they have a good,3,1
this is not a question,i think they have a good,3,1
i think they will disappear from the top tier level of play,i think they have a good team,5,1
i do not expect them to do much in their tier,i think they have a good team,5,1
yea spain will do fine,i think they have a good,3,1
for me isco is the best in spain at this time,i think they have a good player,5,1
he has held a record and wants to be have that as his own retirement in history,"yes , they have a good",3,1
who is their best defender \?,i think they have a good team,5,1
bale,i think they have a good team,5,1
sergio ramos is one of the defenses of the world,i think they have a good,3,1
"after hurting salah in the champions league final , ramos is despised by the liverpool fans !","yes , they have a good",3,1
"yes , ronaldo is not that good","yes , they have a good",3,1
for sure they will be !,i think they have a good team,5,1
who is paris sg 's stiffest competition \?,i think they have a good team,5,1
"yes easily , expect it to be at least 5 goals",i think they have a good,3,1
the best player in psg is neymar jr,"yes , they have a good",3,1
yes you are right to win you need a good team,"yes , they have a good",3,2
iceland players are very good players,i think they have a good team,5,3
they really prove that practice is as important as athletic talent,i think they have a good team,5,1
who do you think is their best player \?,i think they have a good,3,1
gunnarso,"yes , they have a good",3,1
lars lagerback,"yes , they have a good",3,1
no,i think they have a good team,5,1
italy won at least 3 matches,i think they have a good team,5,1
italy never even qualified for the fifa world cup,i think they have a good,3,1
wikipedia shows their major training ground is in florence,i think they have a good,3,1
"italy wo n't have a worst player , their team has to support each other all the time , as long as the team works then their play works","yes , they have a good",3,1
i did not see the game,i think they have a good team,5,1
"no , you do have to respect their talent",i think they have a good team,5,1
never been a fan of liverpool do n't like their players,i think they have a good,3,1
"klopp 's one of the most interesting managers in the league , and is an amazing fit for liverpool 's style and ethics he has the fans on his side for sure","yes , they have a good",3,1
yes futbol,"yes , they have a good",3,1
i think liverpool 's main rivals will be manchester united,"yes , they have a good",3,1
andres escobar saldarriaga,i think they have a good team,5,1
i believe they received counselling,i think they have a good team,5,1
he scored an own goal,i think they have a good team,5,1
really feeling sad just to know this,i think they have a good,3,1
my favorite player is their starting striker,i think is the best,1,2
"alexis sanchez , did n't like the way he left arsenal",i think is the best,1,1
he wanted to play for jose mourinho,i think is the best,1,1
he is a good striker,"yes , they have a good player",5,2
james robson is the most talented because of the amazing goal he scored this season against west ham,"yes , they have a good player",5,1
yes very talented but ok you do the same,"yes , they have a good player",5,1
lionel messi is argentina 's top goal scorer,i think,1,1
in argentina and in barcelona too,i think is the best,1,1
franco armani,i think is the best,1,1
he is not the best goalkeeper,i think is the best,1,1
he only just begun his international career this world cup,"yes , they have a good",3,1
"yes , i like uruguay",i think,1,1
luis suarez,i think they have a good player,5,3
they offense is fast acting though,i think is the best,1,1
not as a starter anyways he would be 35 i expect maxi gomez to take his place,i think they have a good,3,1
maxi gomez is 21 years old,i think is the best,1,1
have they ever had a black player \?,i think they have a good team,5,1
"john barnes played for liverpool in the late 80s and early 90s , he was black",i think they have a good team,5,1
roberto mancini is the current coach of italy,i think,5,1
"even though q3 relates to liverpool , i do not understand how to answer q3",i think they have a good player,5,1
maybe he just wants to know the history of black players of the team he likes,"yes , they have a good",3,1
they were originally named everton f c and athletic grounds ltd,"yes , they have a good",3,1
i think balotelli is,i think is the best,1,2
"it is easier to qualify for the european championship than the world cup , plus italy are typically a very goo team , so i believe they will",i think is the best,1,1
no,i think they have a good player,5,1
because they suck,i think they have a good player,5,1
pele is the best player of all time,i think,1,1
"yes , cristiano ronaldo 's move from real madrid to juventis affected his reputation as a player think about if you moved from one neighborhood to another , obviously your reputation would be effected",i think they have a good team,5,1
if for me it is also the best of all times,i think they have a good,3,1
i think it will be affected,"yes , they have a good",3,1
real madrid plays excellently with their crop of players mixing speed with tiki taka and serious tenacity at all times,"yes , they have a good",3,1
uruguay is okay but none of the players stand out,i think they have a good team,5,2
uruguay is a good team that could have done more in this 2018 world cup,i think they have a good team,5,2
"yes , if it is available to win the world cup",i think they have a good,3,1
oscar tabarez is their manager,"yes , they have a good",3,1
i wonder how he is too since he 's in contract till 2021,i think is the best,1,1
japan is a team i like due to their clever passing football style,i think,1,1
they are very precise and quick,i think they have a good team,5,1
i dont like japan team,i think they have a good team,5,1
"it 's always 11 players per team at a time , but they will also have substitute players etc",i think they have a good team,5,1
3,i think they have a good,3,1
i dont,i think they have a good team,5,1
it 's rui pedro dos santos patricio,i think is the best,1,1
cristiano ronaldo,i think they have a good,3,1
yes,"yes , they have a good",3,1
"yes , it was very boring to watch them play but they deserved it","yes , they have a good",3,1
"no , i think spanish football is technical and exciting",i think they have a good team,5,1
"i agree , spain football is exciting",i think they have a good team,5,1
spain has great possession tactics,i think they have a good,3,1
do you think they lost the world cup because they sacked their manager a few days before \?,"yes , they have a good",3,1
"yes , cristiano ronaldo is the captain of portugal",i think they have a good team,5,2
it grew out of a different environment into something unique,"yes , they have a good",3,1
who gets the arm band when ronaldo is done \?,i think is the best,1,1
"varane is the next captain after cristiano and yes , he can make it , just have to make an effort",i think is the best,1,1
professionally in 2002 buto,"yes , they have a good",3,1
154 caps and 85 goals,"yes , they have a good",3,1
berg,i think they have a good team,5,1
he was good enough to be picked for sweden 's 2018 fifa world cup,i think is the best,1,1
david alaba is one of the defenders,"yes , they have a good",3,1
"it was good enough , but not as good as comparing others",i think they have a good,3,1
what colours sweden 's kit,"yes , they have a good player",5,1
who is the coach for sweden \?,"yes , they have a good player",5,1
"no , juventus will win the champions league",i think they have a good team,5,1
probably the semi 's,i think they have a good team,5,1
i think the winner will be real but bayern will get to semi finals,i think they have a good,3,1
friendly v hamburg on 15th august,"yes , they have a good",3,1
they only have one,i think,1,1
"i am not sure , about the same numbers as most teams",i think they have a good team,5,1
"uruguay team have a lot of players , but only 20 went to the world cup",i think they have a good,3,1
is penarol uruguay 's best team \?,i think they have a good,3,2
if the best,"yes , i think they have a good",3,1
they have a great history and arguably the best player in the world in lionel messi,i think they have a good team,5,1
2015,i think they have a good team,5,1
there is a good possibility that they will but it is still between the 3 top teams in spain,i think they have a good,3,1
maurizio sarri,"yes , they have a good",3,1
"yes , i'm sure of that","yes , they have a good",3,1
"yes , they won last season it was the 3rd win in the last 4 seasons","yes , they have a good",3,1
"like , a billion",i think they have a good team,5,1
what about chelsea \?,i think they have a good team,5,1
i do not think so because manchester city is very strong,i think they have a good,3,1
"no , they are not","yes , they have a good",3,1
i think liverpool have a lot more potential going in to this next season than manchester united do,i think they have a good team,5,1
black and red,i think they have a good,3,1
liverpool has become an excellent team these last years,i think they have a good team,5,1
liverpool was at the final of the last champions league final,i think they have a good,3,1
no way man !,"yes , they have a good",3,1
"yeah , ronaldo was messing up the whole cl , but now that he 's gone , it will be a different game","yes , they have a good",3,1
milan look good this year,i think they have a good team,5,1
"yes , they are a top team",i think they have a good team,5,2
honesty,i think they have a good,3,1
san siro stadium,i think they have a good,3,1
only if you are argentina !,i think they have a good team,5,1
"no , they have similar win rates playing between them",i think they have a good team,5,1
croatia is the better team,i think they have a good team,5,3
yes they are a better squad usually but i think they let themselves down this time around,i think is the best,1,1
"yes , it was a terrible loss for brazil !","yes , they have a good",3,1
yes finishing third was extremely commendable and they had some very convincing wins,i think they have a good team,5,1
i think it was 25,i think they have a good team,5,1
gerardo martino is the coach,"yes , they have a good player",5,1
thomas vermaelen,i think they have a good,3,1
yes i think so,i think is the best,1,1
belgium is the actual team and not a player,"yes , they have a good player",5,2
i have no idea what that means,i think they have a good team,5,1
mexico,i think they have a good team,5,2
in my opinion no ! there are many dangerous areas,i think is the best,1,1
"too long , think it should be a tad shorter",i think they have a good,3,1
florentino perez is the chairman,"yes , they have a good",3,1
i think they will,i think they have a good team,5,1
i think that they have a great future ahead of them,i think they have a good team,5,1
santiago solari is the new coach,i think they have a good,3,1
santiago bernabeu is the name of their stadium,"yes , they have a good",3,1
"no , he will not",i think they have a good team,5,
i do n't think it will make much difference,i think they have a good team,5,1
he is given rest to come back well,i think they have a good,3,1
i think he will score many assists,"yes , they have a good",3,1
they are 5th,"yes , they have a good",3,1
what is so special about milan \?,i think,1,1
"ac milan finished 4th in serie a , which is n't too bad",i think they have a good team,5,1
is not well they did well last season,i think is the best,1,1
2010 2011,i think is the best,1,1
their goalie,"yes , they have a good",3,1
"yes , they reached the round of 16 at the fifa world cup",i think,1,1
yes they are good,i think they have a good,3,1
shaqiri,i think is the best,1,1
best swiss player \?,"yes , they have a good",3,1
what color is switzerland 's uniforms \?,"yes , they have a good",3,1
what is their current strip \?,i think they have a good team,5,1
who is the current manager of fc porto \?,i think they have a good team,5,1
yes he did,i think they have a good team,5,2
he was educated at the technical university of lisbon,i think they have a good,3,2
he managed real madrid and chelsea he currently manages manchester united,"yes , they have a good",3,1
france,i think they have a good team,5,1
impressive victory,i think they have a good team,5,1
i do n't see why not,i think they have a good,3,1
gylfi sigurdsson,"yes , they have a good",3,1
france it 's a very good team to play,"yes , they have a good",3,2
bayern did amazing,i think they have a good team,5,2
robert lewandowski,i think they have a good team,5,2
"no he is not dumb , i like him !",i think they have a good player,5,2
"i do n't know , i always thought he was a good player",i think is the best,1,1
i still think bayern munich will win the title this season,"yes , they have a good",3,1
very good team,i think they have a good team,5,2
i think el arabi hillel soudani scored,i think they have a good,3,1
slightly better than this year,i think they have a good,3,1
what better expectations does croatia have \?,"yes , they have a good",3,2
probably not they were n't in the top 10 last year,"yes , they have a good",3,1
janne andersson,"yes , they have a good player",5,2
so am i they scored a series of surprising wins during the world cup,i think they have a good team,5,1
"totally , could n't agree more",i think they have a good team,5,1
do you think they are better off without zlatan \?,i think they have a good,3,1
he is a strong act to live up to,"yes , they have a good player",5,1
"no , senegal has never won a world cup",i think they have a good team,5,1
senegal needs to improve,i think they have a good team,5,1
senegal,i think they have a good,3,1
"the senegal players have potentials , we need to watch out for them in the african cup of nations",i think is the best,1,1
it sounds like a good way to spend a day !,i think they have a good team,5,1
no i do n't,i think they have a good team,5,1
yes they 're definitely a better team than the u s,i think they have a good,3,1
"belgium has strong elements such as its stars eden hazard , romelu lukaku and kevin de bruyne , which should have us strength defense and technique",i think they have a good player,5,1
belgiums stars are in their thirties,"yes , they have a good player",5,2
my favorite player on paris sg is mbappe i loved watching him play in the world cup,i like the best,2,1
montreal impact,i think,1,1
2002,i think they have a good team,5,1
who do you think is the best player of all time \?,i think they have a good player,5,1
messi seems to be a strong player on the field,i think is the best,1,1
yes i would vote for him if he was the last man on earth,"yes , they have a good",3,1
quarter finals in a world cup,i think,1,1
"nope , nigeria has been dominating senegal in the african cup of nations",i think they have a good,3,1
i think senegal wins the next african cup,"yes , they have a good",3,2
when was the last important game that senegal won \?,"yes , they have a good",3,2
gylfi sigurdsson is their attacking midfielder,"yes , they have a good",3,1
gareth bale,i think they have a good,3,1
marcelo,i think they have a good,3,1
he provides more for the team,i think is the best,1,1
i agree,"yes , they have a good",3,2
i think so,"yes , they have a good",3,2
erik hamren is the coach,i think they have a good team,5,1
since 2013,i think they have a good,3,1
hannes halldorsson,i think is the best,1,2
cristiano ronaldo,i think they have a good team,5,2
yeah but we keep repeating it and hoping,i think is the best,1,1
cristiano ronaldo was the captain of the 2018 world cup 5 goals,i think they have a good team,5,1
yes he is good,i think they have a good,3,3
he was their man point of attack and i think he would benefit from having more players surroudning him,i think is the best,1,1
i agree that portugal would have gone further if he had more support,"yes , they have a good",3,1
146,i think is the best,1,1
how many did belgium score this year \?,i think is the best,1,1
16 goals that 's good who do you think the best player is from the belgium team \?,i think they have a good team,5,1
i believe the best players are hazard and de bruyne,i think is the best,1,1
lukaku is the third best player,i think,1,1
just fake ones it seems,i think they have a good team,5,1
yeah always faking injuries,i think they have a good team,5,1
they are just a team that embellishes fouls on the field often,i think they have a good,3,2
yellow cards,"yes , they have a good player",5,2
"it was founded on february 27 , 1900",i think they have a good team,5,1
other teams ball,"yes , they have a good",3,2
the atletico de madrid,i think they have a good team,5,2
every 7 years or so,i think they have a good team,5,1
i have to look up,i think they have a good,3,1
difficult to say actually,i think they have a good,3,1
"i think antuan griezmann , from atletico madrid","yes , they have a good",3,1
"i like bayern munich , they are the best from germany",i think they have a good team,5,1
almost every team in europe has a womens team,i think is the best,1,1
biliions probably,i think they have a good,3,1
i think bvb dortmund will turn things around,i think is the best,1,1
bvb needs to let less goals in and score more goals,i think they have a good team,5,2
how did bvb do in their match against benfica \?,i think they have a good,3,2
"yes , i believe that he is the best in the team",i think they have a good player,5,1
"yes , and he is also the captain of the team","yes , they have a good",3,2
a good team indeed,i think they have a good team,5,2
zidane played for france,i think is the best,1,1
what do you think of italy 's uniforms \?,i think they have a good,3,2
how does italy compare to the competition \?,i think they have a good,3,2
yeah spain has no chance,"yes , they have a good",3,2
i think that they are over rated,i think they have a good team,5,1
they have n't won the league since 2013 they 're just not that good without fergie,i think they have a good team,5,1
manchester uniuni has a strong following who does n't t to associate with a winner \?,i think they have a good,3,2
"i believe they will stay loyal they may turn on the coach , some players , but in the end they will still support their team","yes , they have a good",3,1
jose mourinho is the coach,"yes , they have a good",3,1
i dont,i think they have a good team,5,1
zanetti is a pretty good defender for argentina,i think is the best,1,1
i love to watch oatamendi,i think is the best,1,1
"i agree , they could 've gone so much further",i think is the best,1,1
remember when they beat usa 4 1 \?,"yes , they have a good",3,1
yes i do,i think they have a good team,5,1
"yup , they won the world cup in 2018",i think they have won the world cup,5,3
that is too far away to predict many things could change between now and then,i think they have a good,3,1
if i think i win more world,i think they have a good,3,1
by the hand of mbappe and paul pogba,"yes , they have a good",3,1
"juventus was good before but now that they added cristiano ronaldo , they 'll be a huge threat in the champions league",i think,1,1
in this season currently in 2018,i think they have a good team,5,1
"they have a great team , the possibility is high",i think they have a good team,5,1
if i think they win the trophies,i think they have a good,3,1
only if porta does n't show up,"yes , they have a good",3,2
i think it was a good thing for them,i think they have a good team,5,2
absolutely jurgan klopp is an excellent leader and salah is the best goal scorer in the premier league,i think they have a good team,5,1
"if he stays in liverpool , then yes",i think they have a good,3,1
i do ! they have many good players,"yes , they have a good",3,2
yes they focus very much,"yes , they have a good",3,1
argentina can give them a run for their money,i think they have a good team,5,1
i think that brazil are better,i think they have a good,3,1
would brazil play better without neymar \?,i think they have a good,3,1
neymar traditionally,"yes , they have a good player",5,1
"no , neymar is first not second place","yes , they have a good player",5,1
do n't know,i think,1,1
"yes , oscar tabarez is uruguay 's head coach",i think,1,1
