original_response_(S1),predicted_response_(S2),Grammatically_correctness_of_S2 (scale 1-5),Similarity_between_S1_and_S2_in_terms_of_meaning_and_provided_info (scale 1-5)
thomas vermaelen,were you can not any other world cup \?,1,1
yes i think so,were you \?,1,1
belgium is the actual team and not a player.,were you can not any other world cup \?,1,1
who is their best defender?,i really love the team real madrid,5,1
bale,i really love the team real madrid,5,1
sergio ramos is one of the defenses of the world,i really love the team real madrid,5,1
"after hurting salah in the champions league final, ramos is despised by the liverpool fans!",i really love the team real madrid,5,1
"yes, ronaldo is not that good.",i really love the team real madrid,5,2
"yes, he is.",bvb dortmund is a really traditional german football club indispensable,5,1
i would argue that implying they're traditional means they are not adjusting well to the times.,bvb dortmund is a really traditional german football club indispensable,5,1
yes they have a history of success,b dortmund is a really traditional german football club indispensable,5,1
"i hear there favourite record is by a famous band called ""the village people"" ymca",b dortmund is a really traditional german football club indispensable,5,1
lucien favre,b dortmund is a really traditional german football club indispensable,5,1
schalke bayern and gladbach are three of their biggest rivals.,who are dortmunds biggest club rivals \?,4,1
it is marcus reus,who are dortmunds biggest club rivals \?,4,1
bayern munich for sure.,who are dortmunds biggest club rivals \?,4,1
probably a few,who are dortmunds biggest club rivals \?,4,1
q5 is not a question so i can't answer.,who are dortmunds biggest club rivals \?,4,1
"when the club was founded, their motto was ""forged in industry, striving for glory"".",what is manchester united soccer team indispensable motto when playing soccer \?,5,1
lukaku for sure,what is manchester united soccer team indispensable motto when playing soccer \?,5,1
what makes lukaku so great?,what is the best player on manchester united soccer team,2,1
lukaku is great for manchester united because he is strong and scores goals,what is the best player of that team,2,1
excellent is the word eys.,what is the best player of that team,2,1
"yes, in 2017-2018.",did dortmund qualify for this years champions league \?,5,1
i do because they compliment each other,did dortmund qualify for this years champions league \?,5,1
marco reus,did dortmund qualify for this years champions league \?,5,1
"the exact number is not available, but i would say he is paid well.",did dortmund qualify for this years champions league \?,5,1
"lucien favre, i quite like him.",did dortmund qualify for this years champions league \?,5,1
well-played team.,i really love the team france,5,2
mbappe and a weak world cup year.,i really love the team france,5,1
yes they were favourites to win it,i really love the team france,5,2
he was amazing!,i really love the team france,5,1
the same as 2018 unless better young ones come about,i really love the team france,5,1
"i enjoy sporting movies, especially anything involving football.",what sounds your bestenna,1,1
yes but only on the history channel,what sounds your bestenna,1,1
entertainment the best horror movies of 2018 (so far),what sounds \?,1,1
yes i think that you are probably correct.,what sounds your bestenna,1,1
that's not a question,what sounds your bestenna,1,1
"yes, they are a strong european side",i admire belgium,5,1
they can win it all,i admire belgium,5,1
they would definitely be strong contenders with france and england for euro 2020.,i admire belgium,5,1
i want belgium to win they got a great team.,i admire not think they win the euro cup,3,1
the best player in belgium is eden hazard,i admire not think they win the euro cup,3,1
definitely,do you think ac milan are aging contenders for the italian championship this year \?,5,1
2011,do you think ac milan are aging contenders for the italian championship this year \?,5,1
ac milan beat internazionale in 2011 italian championship.,do you think ac milan are aging contenders for the italian championship this year \?,5,1
forbes has ac milan's net worth listed at $612 million.,do you think ac milan are the last time ac milan won the italian championship this year,5,1
they will bounce back for sure.,do,1,1
4 times,how many times did barcelona win the uefa champions league \?,5,1
2014,how many times did barcelona win the uefa champions league \?,5,1
he did in 1996,how many times did barcelona win the uefa champions league \?,5,1
maybe luis enrique,how many times did barcelona win the uefa champions league \?,5,1
with their history and achievements they are one of the best in the world.,how many times did barcelona win the uefa champions league \?,5,1
a bit lacklustre,what do you think of mexicorea performance in the world cup \?,5,1
at the moment it has been formed much better,what do you think of mexico emblem performance in the world cup \?,5,1
did you watch their last match ?,what do you think of mexico emblem performance in the world cup \?,5,1
guardado is a very good player,what,1,1
who do you think that he is a bad player?,what,1,1
they are fun to watch and i'm very sympathetic to their players.,france is one of my favorite football team,5,1
"yes, i totally agree that france deserved to win the world cup",france is one of my favorite football team,5,2
there weren't really any other teams that meshed as well together as the french team did.,france is one of my favorite football team,5,1
"they must have a very good chance, but four years is a long time.",france is one of my favorite football team,5,1
more aggression will certainly help and their balls handling skills.,france is one of my favorite football team,5,1
"my favorite player was kylian mbappe, he is an amazing player",who was your favourite player in this world cup \?,5,2
was there anyone you really did not like?,who was your favourite player in this world cup \?,5,1
to me in general who liked me the most was hazard,who was your favourite player in this world cup \?,5,1
"griezmann is so overrated, he is nothing without the players around him.",who was your favourite player in this world cup \?,5,1
his skill has been elavated only because of the supporting cast around him.,who was your favourite player in this world cup \?,5,1
they have a great history and arguably the best player in the world in lionel messi.,why are barcelona considered so good \?,5,1
2015,why are barcelona considered so good \?,5,1
there is a good possibility that they will. but it is still between the 3 top teams in spain.,why are barcelona \?,2,1
"yes, i'm sure of that",why are barcelona won the champions league,4,1
"yes, they won last season. it was the 3rd win in the last 4 seasons.",why are barcelona win the league,2,1
i'm not sure i have a favorite team right now.,this is one of my favorite team,5,1
the efl cup final between man united and southampton was pretty good.,this is one of my favorite team,5,1
what time of year do you think its best to visit france?,this is one of my favorite team,5,1
russia was a good place for the world cup everything was first class and they were up to par,this is one of my favorite team,5,1
if i agree with that,this is one of my favorite team,5,1
what are their best attributes?,i love fcanni porto,5,1
the best attributes is when the team wins,i love fcanni porto,5,1
portuguese superliga,i love fcanni porto,5,1
yes they are,i love fcanni porto,5,1
yes they do sure!,i love fcanni porto,5,1
me too,i really love the team paris sg,5,1
"i heard neymar spent almost 5 minutes during a game, faking an injury to get a penalty kick.",i really love the team paris sg,5,1
"paris saint-germain defender presnel kimpembe, a member of france's world cup-winning squad, signed a two-year contract extension on monday (aug 13) keeping him at the club until 2023.",i really love the team better now with neymar joining the roster,3,1
always the titles of france just want to win the chanpions,i really love the team better now with neymar joining the roster,3,1
neymar joined psg in 2017.,i really love the team better now with neymar \?,5,2
probably going to lose a lot more.,what is real madrid going to do without cristiano ronaldo \?,5,1
"my favorite is modric. he's one of the world's best, almost as good as ronaldo.",what is real madrid going to do without cristiano ronaldo \?,5,1
"it is a club, besides, it is the biggest in the world. i do not think he retires",what is,1,1
he will be missed but it is a team sport so i am sure they will do just fine.,what is real madrid going to do without cristiano ronaldo \?,5,1
he is irreplaceable.,what is,1,1
just fake ones it seems.,have there been any injuries on colombiarea team this year \?,5,1
yeah always faking injuries,have there been any injuries on colombiarea team this year \?,5,1
they are just a team that embellishes fouls on the field often.,"have there been any injuries on colombia , and any injuries on colombia , and any",1,1
yellow cards,"have there been any improvements on colombia , and any",1,1
other teams ball,have there \?,1,1
very good team,i heard the croatian team did really well in the world cup that true \?,3,1
"yes they have very good players (modric, rakitic, mandzukic, rebic, perisic) it was very impressive how they got to the finals. awesome team.",i heard the croatian team did really well in the world cup that true \?,2,2
if they can keep the momentum going.,i heard the croatian team did really well in the world cup that true \?,2,1
alen halilovic,i,1,1
"yes i think they will, they have the potential to do so.",i heard the croatian team did really well in the next world cup that true \?,2,2
do you watch them on tv?,i love the team nigeria,5,1
when it was the last game of nigeria that you saw?,i love the team nigeria,5,2
nigeria is my favorite team.,i love the team nigeria,5,5
better than cameroon?,i love the team nigeria,5,1
celebrating cameroon through service,i love the team nigeria,5,1
who is their current manager?,i love arsenal,5,1
wenger left at the end of the 2017/18 season. unai emery is the manager now.,i love arsenal,5,1
no he is not anymore,i love arsenal,5,1
unai emery,i love arsenal,5,1
they are named after the royal arsenal at woolwich,i love arsenal,5,2
brazil is my favorite team because they have some great players.,i love brazil,5,2
how good is brazil?,i love brazil,5,2
what will happen to brazil when all of their high caliber players retire?,i love brazil,5,2
"brazil has always had excellent players, albeit one",i love brazil,5,3
their last time was 2002.,i love brazil,5,1
what do you like about brazil?,i admire brazil,5,2
i like brazil for its style of play and for the good players it has,i admire brazil,5,2
"i do not agree with this, neymar is a good player but the best in the brazilian team",i admire brazil,5,2
there are great players on every team,i admire brazil,5,1
yeah it is.,i admire brazil,5,1
"typically they are referred to red cards and can involved dangerous play, something the ref deems offensive, or an accumulation of lesser warnings.",how does a player get a red flag \?,5,1
"yes, it all depends on the referees style of foul-calling during the match.",how does a player get a red flag \?,5,1
except the rules are quite different!,how does a player get a red flag \?,5,1
football is what it's called in most of the world.,how does a player get a red flag \?,5,1
"football does change lives, it gives everyone from rich to poor something to look forward to and watch.",how does a player get a red flag \?,5,1
very good team,is bvb dortmund able to be a serious competitor for the championship \?,3,1
but not good enough to compete with bayern.,is bvb dortmund able to be a serious competitor for the championship \?,3,1
"yes, bayern are very strong though.",is bvb dortmund able to be a serious competitor for the championship \?,3,1
they will win  in future,is a business \?,1,1
maybe favre,is a setortmund able to be a serious competitor for the championship \?,1,1
germany did not get past the first round this time round.,how far did germany get in the last fifa world cup \?,3,2
i can't pick a specific one,how far did germany get in the last fifa world cup \?,3,1
i am not sure,how far did germany get in the last fifa world cup \?,3,1
the last time germany won a game was june 23rd.  the last time they won the world cup was in 2014.,how far did germany get in the last fifa world cup \?,3,1
"i like colombia, go falcao !",i absolutely adore colombia,5,3
if i like colombia and i want to see falcao in the same,i absolutely adore colombia,5,3
jose pekerman,i absolutely adore colombia,5,1
i highly doubt that they can do better next time but i think they can do as well as the previous time.,i absolutely adore colombia,5,1
yes of course i also think the same can be improved,i absolutely adore colombia,5,1
for sure they will be!,are paris sg going to be in the champions league this year \?,5,1
who is paris sg's stiffest competition?,are paris sg \?,1,2
"yes easily, expect it to be at least 5 goals.",are paris sg,1,1
the best player in psg is neymar jr,are paris sg,1,1
yes you are right. to win you need a good team.,are paris sg \?,1,1
10 years ago,helloeros how long have you been playingenna \?,5,1
valverde.,helloeros how long have you been playingenna \?,5,1
"in my opinion, not very well.",helloeros how long have you been playingenna \?,5,1
"yes, they are one of the top teams.",helloeros how long have you been playingenna \?,5,1
with the squad they currently have they have every chance of winnng,helloeros how long have you been playingenna \?,5,1
they're not bad watch imo,portugal plays very tactical and not always indispensable footballrs,5,1
"yes, they will get old and slow. so their strategy will be to complain more and play less.",portugal plays very tactical and not always indispensable footballrs,5,1
yes i think they will cristiano ronaldo is not getting any younger and won't be able to play for them forever.,portugal plays very tactical and not always indispensable footballrs,5,1
fernando santos,portugal plays very tactical and not always indispensable footballrs,5,1
"pele - 1,281 goals",portugal will help information,2,1
which team?,i admire,2,1
"no, the united states will not have a chance for many years",i admire,2,1
motorsports,i admire,2,1
is american football more popular than basketball?,i admire,2,1
this is not a question,i admire,2,1
avr was really helpful to settle disputes.,how do you feel about the new technology on the last  world cup \?,5,3
sweden benefited from it not being used correctly.,how do you feel about the new technology on the last  world cup \?,5,3
we're are sweden ranked,how do you feel about the new technology on the last al \?,5,1
sweden has a great front,how do you feel about the new technology on the new technology on the new technology on the new technology,4,1
sweden must work to achieve it,how,1,
liverpool are a good team but i do not like them.,love liverpool,5,2
have you ever been to a liverpool home game?,love liverpool,5,2
what do you think about the liverpool fans?,love liverpool,5,2
have you experienced it?,love liverpool,5,2
"absolutely they can, yes.",love liverpool,5,2
hard to tell. he has lots of catches for fc. porto.,how many aging did iker casillas casillas casillas casillas casillas casillas casillas,1,1
at his age it might be difficult,how many \? iker casillas casillas casillas casillas casillas casillas,1,1
do you think navas has replaced him well at madrid?,how many \? iker casillas casillas casillas casillas casillas casillas casillas,1,1
what colors ar fc. porto's jerseys?,how many \? a great a great goalkeeper,1,1
do they have any sponsors?,how many \? a great goalkeeper,1,1
i dont,i like the team nigeria,5,1
they are not very structured,i like the team nigeria,5,1
i think they have one of the best teams in africa.,i like the team nigeria,5,1
i hate nigeria team because they are so bored,i like the team nigeria,5,1
they just don't want it enough!,i like the team nigeria,5,1
pele is the best player of all time.,who is the best player \?,5,1
"yes, cristiano ronaldo's move from real madrid to juventis affected his reputation as a player. think about if you moved from one neighborhood to another, obviously your reputation would be effected.",who is the best player \?,5,1
if for me it is also the best of all times,who is the best player \?,5,1
i think it will be affected.,who,1,1
real madrid plays excellently with their crop of players mixing speed with tiki taka and serious tenacity at all times.,who is the best of all time no doubt,2,1
"like, a billion.",how many injuries did the chelsea team suffer \?,3,1
what about chelsea?,how many injuries did the chelsea team suffer \?,3,2
i do not think so because manchester city is very strong.,how many injuries did the chelsea team suffer \?,3,2
maurizio sarri,how many games did the headales did the headales did the headales did the headales did,1,2
"no, they are not.",how many injuries did the chelsea team suffer \?,3,2
higuain,who is you number 9,5,2
he plays striker.,who is you number 9,5,2
a: milan.,who is you number 9,5,1
has messi ever won a world cup?,who is you number 9,5,1
do you think argentina will win this year?,who is you play far \?,2,1
i think eden hazard is a great forward.,i love belgium,5,1
"i'm familiar, i think it's a good forward",i love belgium,5,1
"yes, he scored",i love belgium,5,1
eden hazard.,i love belgium,5,1
de bruyne,i love belgium,5,1
croatia has modric one of the best players in the world cup,do you like croatia \?,5,1
now at days they are the number 4 at fifa ranking,do you like croatia \?,5,1
higher,do you like croatia \?,5,1
currently it's ivan perisic,do you like croatia currently ranked \?,5,1
he is 29 years old.,do you like croatia \?,5,1
64 goals.,how many goals did bvb dortmund score last season \?,5,1
pierre-emerick aubameyang,how many goals did bvb dortmund score last season \?,5,1
"no, because they are a club team.",how many goals did bvb dortmund score last season \?,5,1
the best goal was the one that scored aubameyang,how many goals did bvb dortmund score last season \?,5,1
roman burki was the starting goalie,how many goals did bvb dortmund score last season \?,5,1
me too,i like the team belgium,5,1
2nd placed,i like the team belgium,5,1
thibaut courtois is the belgium goalkeeper,i like the team belgium,5,3
lukaku scored the most goals for belgium,i like the team belgium,5,3
"yes, i think they will be able to qualify.",i like the team belgium,5,1
"lukaku, no question.",who is manchester unitedrea best player \?,1,1
edwin van der sar remains a legend,who is manchester unitedrea best player \?,1,1
tiene un gran capo manchester united,who is manchester unitedrea best player \?,1,2
gran pegada manchester united,who,1,1
"they win more than lose,but it is not enough to wil league",who is manchester united,2,1
"i haven't, personally, played any games this year.",what has been your best games this season \?,3,1
psg has too big of a media presence to not follow.,what has been your best games this season \?,3,1
what makes them such a great team?,what has been your best games this season \?,3,1
"if neymar leaves paris sg, he would probably end up at real madrid.",what,1,1
surely everybody has their price ?,what has been your best games this season \?,3,1
if it is i like how he trains his players arsenal,playing unai emery a good coach \?,1,1
i think you can aspire to champions,playing unai emery a good coach \?,1,1
tony adams,playing unai emery a good coach \?,1,1
i have no idea,playing unai emery a good coach \?,1,1
yes i think he is leave before the transfer window,playing unai emery a good coach \?,1,1
why,i admire brazil,5,1
i think they are tied,i admire brazil,5,1
adenor leonardo bacchi,i admire brazil,5,1
"the brazil flag is green, yellow and blue.",i admire brazil,5,3
neymar for sure!,i admire brazil,5,2
yes iceland did well that day.,iceland surprised everyone at the world cup when they gained messi emblem penalty,2,2
iceland should train their offensive players to attack more and try to take the ball more often.,iceland surprised everyone at the world cup when they gained messi emblem penalty,2,2
gylfi sigursson is in my opinion,iceland surprised everyone at the world cup when they gained messi,2,1
hannes halldorson.,ic emblem penalty,1,1
brazil is always a powerful team. who is your favorite player?,love brazil,5,2
"neymar is good, he has been compared to pele before.",love brazil,5,1
if neymar is good,love brazil,5,2
who is the best manager brazil has had?,love brazil,5,2
what are the team's colours?,love brazil,5,1
roman abramovich,who currently owns chelsea \?,5,1
did roman abramovich play for chelsea at one point?,who currently owns chelsea \?,5,2
"no, roman abramovich is a businessman and he has never played football professionally himself.",who currently owns chelsea \?,5,1
chelsea won 3 - 0 on saturday,who currently owns chelsea \?,5,2
"not really, no, they fell behind last season, but they have an opportunity to be the best in the league this season.",who currently owns chelsea \?,5,1
"they seem to be very inconsistent, even though they have incredible players like aguero and dybala",i like argentina,5,1
i think he is going to retire soon from argentina to focus more on his club career.,i like argentina,5,2
i have never encountered that game,i like argentina,5,1
i don't like any of the players on the argentina team,i like argentina,5,2
they should not make good fire can get higher,i like argentina,5,1
nigeria came in second place.,what place did nigeria come in the african cuo,1,2
liverpool won.,what place did nigeria come in the african cuo,1,1
nigeria just can't catch a break.,what place did nigeria come in the african cuo,1,2
nigeria you can not play against liverpool because nigeria is a national team,what place did nigeria come in the african cuo,1,2
"possibly, nigeria is a great team.",what place did nigeria come in the african \?,1,2
their world cup debute was in 1934.,when did sweden debut for fifa \?,5,1
i don't think they were in finals.,when did sweden debut for fifa \?,5,1
i believe sweden only got the quarterfinals,when did sweden \?,1,2
that is a difficult question for a national team,when did sweden get in the 2018 wc,1,1
they play in yellow and blue,when did sweden \?,1,1
uruguay is in south america.,what continent is uruguay in \?,5,2
"no, oscar tabarez is still their coach.",what continent is uruguay in \?,5,1
a3: he is doing well so far.,what continent is uruguay in \?,5,1
yes uruguay seems happy with tebarez as their coach.,what continent is uruguay have a new coach \?,2,2
"they are not as good as mexico, brazil and argentina, but i think they still have a good shot.",what continent is uruguay in \?,5,1
i think it's ronaldo,who was better out of eulybio and ronaldo \?,5,2
a year ago,who was better out of eulybio and ronaldo \?,5,1
nani ist a good player,who,1,1
ronaldo,who,1,1
"because of his experiences, and how long he has been playing",who,1,1
does real madrid have the most expensive player?,real madrid is the best team in the history \?,5,2
no it does not have any expensive player,real madrid is the best team in the history \?,5,1
no. there are plenty of good players with lots of experience on other sides.,real madrid is the best team in the history \?,5,1
"i think that is sergio ramos, or baran",real madrid is the best team in the history \?,5,1
i think i would sign kroos.he is very clever player.,real madrid is the best team in the history \?,5,1
argentina can give them a run for their money,i really love the team brazil,5,1
i think that brazil are better.,i really love the team brazil,5,2
would brazil play better without neymar?,i really love the team brazil,5,2
neymar traditionally.,i really love the team brazil,5,2
"no, neymar is first not second place",i really love the team,3,2
there are 11 players.,how many players are on your team \?,3,1
11 outfield.,how many players are on your team \?,3,1
the vast majority,how many players are on your team \?,3,1
no.,how many players are on your team \?,3,1
32,how many players are on your team \?,3,1
i have no idea what that means,what doesanni a cero contributed mean to you \?,4,1
mexico.,what doesanni a cero you \?,2,1
in my opinion no! there are many dangerous areas,what does commonly a cero to you \?,1,1
"too long, think it should be a tad shorter",what doesanni a cero contributed mean to you \?,3,1
gerardo martino is the coach,what doesanni a cero you \?,1,1
not good enough that was expected.,how did spain do in the world cup \?,4,1
that depends on which league players participate.,how did spain do in the world cup \?,4,2
isco,how did spain do in the world cup \?,4,1
"my favorite defender is sergio ramos, but puyol is the best of the best",how did spain do in the world cup \?,4,1
i think pique is better than sergio ramos and puyol was the best defense,how did spain do in the world cup \?,4,2
about 29,how many appearances did lionel messi for argentina \?,2,1
lionel messi,how many appearances did lionel messi for argentina \?,2,2
i am going to say messi,how for argentina \?,1,2
blue and red with which the,how many appearances did lionel messi for argentina \?,2,1
he doesn't play badly it is just that international football is harder than club football,how many appearances did the best argentina \?,1,2
they should change their coach.,i love the team germany,5,1
he didn't do a good job in the last world cup,i love the team germany,5,1
the coach didn't prepare his team well enough.,i love the team germany,5,1
germany lacked basic skills. this was the issue. they over complicated their play.,i love the team germany,5,1
stopping the other team from scoring,i love the team germany,5,1
they're a small country but a good  team,i really like this emblem,5,1
excellent team to watch play,i really like this emblem,5,1
"maybe not yet, they should train",i really like this emblem,5,1
of course they exist,i really like this emblem,5,1
hannes thor halldorsson,i really like this emblem,5,1
i too am a huge fan of this team,i really love the team uruguay,5,1
luis suarez,i really love the team uruguay,5,1
is luis suarez the top goal score for the uruguay national team.,i really love the team uruguay,5,1
who is then?,i really love the team uruguay,5,1
how many assists did he provide this year?,i really love the team uruguay,5,1
they have a very white uniform.,what colour are real madrid playing in now \?,5,1
they have a very white uniform and they have a very black uniform,what colour are real madrid playing in now \?,5,1
their home stadium is called the bernabeu.,what,1,1
"the real madrid stadium can hold 80,000 people. its pitch measures 106 x 70 metres",what colour are real madrid playing in now \?,4,1
65000,what colour are real madrid playing in now \?,4,1
yeah me too,i love senegal,5,5
the best player in senegal is hadji diouf,i love senegal,5,4
"no, they have never won any",i love senegal,5,1
aliou cisse is the coach,i love senegal,5,1
they are placed 23 rd,i love senegal,5,1
i will like them if they win the national champsionship.,i absolutely adore arsenal,5,1
in 2015,i absolutely adore arsenal,5,1
yes.,i absolutely adore arsenal,5,5
yes arsenal was strong this year and won their first match.,i absolutely adore arsenal,5,5
yes they have.,i absolutely adore arsenal,5,5
uruguay are good but i don't like suazrez.,love uruguay,3,2
but you cannot say that suarez is not talented,love uruguay,3,2
cavani,love uruguay,3,2
yes it should be rather easy path to qualifications,love uruguay,3,1
this is not a question that can be answered.,love uruguay,3,1
my favorite player on paris sg is mbappe. i loved watching him play in the world cup.,love,1,1
montreal impact,love,1,1
who do you think is the best player of all time?,love,1,1
messi seems to be a strong player on the field.,love,1,1
yes i would vote for him if he was the last man on earth.,love,1,1
they are one of the better european sides,i like team,3,1
yes the is playing,i like team,3,1
messi will be leaving barcelona soon.,i like team,3,1
barcelona is red and yellow,i is playing hundred \?,1,1
"it called camp nou and is the largest stadium in europe. it seats 99,354 fans!",i like team,3,1
why is football more visually exciting than rugby - if you think that it is?,none of above,1,1
no i did not. who was it?,none of above,1,1
"i disagree, football is a more unifying sport throughout the world making it more enjoyable to watch on a worldwide scale.",none of above,1,1
why did he believe first,none of the latest \?,1,1
"atlanta united seems pretty strong this year, i think they can take it.",none of above,1,1
"brazil are very good, such a fun team.",i admire brazil,5,4
"very resentful, i expected more about brazil",i admire brazil,5,4
brazil might have become overconfident,i admire brazil,5,4
they will probably do better by next year.,i admire brazil,5,3
"if they can find a good big target forward, it would help out with some issues they had in the last world cup.",i admire brazil,5,1
estadio do dragao.,name the fc porto stadium \?,4,1
jackson martinez,name the fc porto stadium \?,4,1
he scored atleast 3,name the fc porto stadium \?,4,1
i think colombia,name the fc porto stadium \?,4,1
in 2003/2004 when they won cl,name the fc porto stadium \?,4,1
does anyone watch boxing,like a good soccer team with no nameud,2,1
i do not like boxing. i prefer soccer.,like a good soccer team with no nameud,2,3
american football or proper football?,like a good soccer team with no nameanni,2,1
if the fultbol is better than everything,like a good soccer team with no nameud,2,1
hmm. i've seen some game there better than some sex and i've had sex that was better than some games.,like a good soccer team with no nameud,2,1
i think liverpool have a lot more potential going in to this next season than manchester united do.,are liverpool better than manchester united \?,5,3
liverpool has become an excellent team these last years,are liverpool better than manchester united \?,5,3
liverpool was at the final of the last champions league final,are liverpool better than manchester united \?,5,3
no way man!,are liverpool better than manchester united \?,5,1
"yeah, ronaldo was messing up the whole cl, but now that he's gone, it will be a different game.",are liverpool better than manchester united \?,5,1
well during the world cup 2.64 goals were scored per game,how many goals in average does your team make per game \?,5,2
france scored 4 goals in the world cup.,how many goals in average does your team make per game \?,5,2
thierry henry has scored 51 goals.,how many goals in average does your team make per game \?,5,2
twice,how many goals in average does your team make per game \?,5,1
you mean top goal scorers?,how many goals in average does your team make per game \?,5,2
32-year-old midfielder cheikh n'doye.,who is number 11 on senegal \?,5,1
will senegal win the african nations?,who is number 11 on senegal \?,5,3
who is senegal's coach?,who is number 11 on senegal \?,5,3
do senegal have many players in europe?,who is the senegal \?,4,3
"yes, a lot of their squad members play club football in europe, including mane at liverpool and koulibaly at napoli.",who is number 11 on senegal \?,5,1
"yes, they reached the round of 16 at the fifa world cup.",is switzerland good \?,4,1
yes they are good.,is switzerland good \?,4,2
shaqiri,is switzerland good \?,4,1
best swiss player?,is switzerland good \?,4,3
what color is switzerland's uniforms?,is switzerland good \?,4,3
milan look good this year.,ac milan has a strong team this yearrea,3,3
"yes, they are a top team.",ac milan has a strong team this yearrea,3,2
honesty,ac milan has a strong team this yearrea,3,2
black and red,ac milan has a strong team this yearrea,3,1
san siro stadium,ac milan has a strong team this yearrea,3,1
who is sarah?,what do you think about sud \?,5,1
"salah is a good player, lots of potential",what do you think about sud,5,1
"salah ,henderson and mane",what do you think about sud,5,1
"not sure, but salah is better",what do you think about sud \?,5,1
"yes, juventus acquired an amazing player this year by the name of cristiano ronaldo.",did you see who juventus acquired this year \?,4,2
yeah ronaldo will do great things for juventus.,did you see who juventus acquired this year \?,4,2
"yes, he's one of the best players in the world.",did you see who juventus acquired this year \?,4,1
i agree! i see juventus winning the champions league and ronaldo will make history.,did you see who juventus acquired this year \?,4,2
"the youth has very good players, but now cristiano ronaldo is the best player player",did you can lead juventus acquired this year \?,4,2
they're all great it's hard to choose!,who is your favorite player in croatian team \?,4,1
lovre kalinic is my favorite keeper.,who is your favorite player in croatian team \?,4,2
why is that?,who is your favorite player in croatian team \?,4,1
"true, he's a good guy and solid player",who is your favorite player in croatian team \?,4,1
mario has dominated yeah.,who is your favorite croatian team \?,5,1
me too,i love juventus,5,5
they have many talented players,i love juventus,5,2
juventus has the best defense in the world,i love juventus,5,2
they have won twice,how many euro cuprea win france \?,5,1
they won it in 1984 and 2000,how many euro cuprea win france \?,5,1
only the two but they have come close several times,how many euro cuprea win france \?,5,1
no tienen mejores rivaes france,how many euro cuprea win france \?,5,1
"yes, they have some good marksmen up front",how many world cups as france won,5,1
have no idea.,what is the name of your goalie \?,5,1
yes!,what is the name of your goalie \?,5,1
"yes, he is a goal keeper.",what is the name of your goalie \?,5,1
how many saves has he made?,what is the name of your goalie \?,5,1
most of croatia's players are excellent!,what is the name of your goalie \?,5,1
diego simeone is atletico madrid's current manager.,who is athletico madrid emblem current manager \?,5,3
is it common for managers to have been players?,who is athletico madrid emblem current manager \?,5,1
but it is less common for them to play and manage at the same time.,who,1,1
atletico madrid typically wears a red and white striped shirt with blue shorts as their home uniform.,who is athletico madrid emblem current manager \?,5,3
their secondary kit is light blue shirts with dark blue shorts.,who is athletico madrid emblem current manager \?,5,1
i think that they are over-rated,i love the team manchester united,5,1
they haven't won the league since 2013. they're just not that good without fergie.,i love the team manchester united,5,1
manchester uniuni has a strong following. who doesn't t to associate with a winner?,i love the team manchester united,5,3
"i believe they will stay loyal.  they may turn on the coach, some players, but in the end they will still support their team.",i love the team manchester united,5,1
jose mourinho is the coach,i love the team manchester united,5,1
lionel messi is the best player on argentina.,who accompany the best player for argentina right now \?,5,2
"i think he is more talented than ronaldo, but need more leadership skills",who,1,1
who is argentina's best player of all time?,who,1,1
who is argentina's coach?,who compares the best player for argentina right now \?,4,2
yes scaloni is the boss.,who,1,1
so am i - they scored a series of surprising wins during the world cup.,playingrea at their performance given zlatans recent retirement,2,1
"totally, couldn't agree more.",playingrea at their performance given zlatans recent retirement,2,1
do you think they are better off without zlatan?,playingores recent retirement,2,1
he is a strong act to live up to.,playingrea at their win over germany was just luck \?,4,2
janne andersson,playingrea at their win,3,1
"they are great fun to watch and have some great supporters, bit feel they are just another qualify and go out early team.",i was reallyenna for iceland in the wc this year indispensable,2,1
"it is a shame, feel this was their time and now it's over.",i was really any for iceland in the wc this year indispensable,2,1
hannes halldorsson was the best in my opinion. not many people could save a penalty against messi.,i was really any for iceland in the wc this year \? a wc this year,2,1
yes,i was a,1,1
i bet they make it out of the group stage.,i was a wc this year \? a wc this year,2,1
i believe their record was 3-3-7.  been nice chatting with you -- take care!,i was a wc this year \? a wc this year \? a wc this,2,1
how do you think chelsea will do this season?,hello,5,1
they will finish 4th. it's all scripted.,hello,5,1
"i think chelsea will go far in the europa league and maybe win it, and i think they will probably finish 3rd-4th in the league. i'm disappointed with the way they sacked antonio conte, though.",hello,5,1
i think chelsea will win the league this year.,hello,5,1
do you think jorginho will do well in england?,hello,5,1
fc bayern plays in the allianz arena,what is the name of the arena where bayern munich plays \?,5,3
"75,000 people",what is the name of the arena where bayern munich plays \?,5,1
i think they might be the favoriet,what,1,1
the bayern munich captain is philipp lahm.,what,1,1
he is not yet the captain,what is the name of the arena where bayern munich win the bundasliga,4,1
my favorite player is their starting striker.,antononyanni is my favorite player from manchester unitedrea who is fundamental who is fundamental who is,3,1
"alexis sanchez, didn't like the way he left arsenal",anton behind greatest,4,1
he wanted to play for jose mourinho.,anton behind greatest,4,1
he is a good striker,anton behind greatest,4,1
james robson is the most talented because of the amazing goal he scored this season against west ham.,anton behind greatest,4,1
yes very talented but ok you do the same.,anton behind greatest,4,1
a good team indeed.,i love the team italy,5,5
zidane played for france,i love the team italy,5,1
what do you think of italy's uniforms?,i love the team italy,5,1
