original_Entity,predicted_Entity,Input Query
<no_ent>,<no_ent>,"to be on their team, what do you mean? <eou> who is the most dominating club real madrid or juventus?"
<no_ent>,<no_ent>,nigeria were defeated by argentina.
<no_ent>,<no_ent>,this is true because argentina are a great team but nigeria are not to be underestimated. <eou> no there not
nigeria,<no_ent>,to be underestimated. <eou> no there not <eou> nigeria is a great team too <eou> who's the coach of nigeria
<no_ent>,<no_ent>,coach of nigeria <eou> the name of the coach is gernot rohr <eou> how long has he coached nigeria's team?
<no_ent>,<no_ent>,nigeria's team? <eou> about four years <eou> do you think they will be contenders again for the next world cup?
<no_ent>,<no_ent>,i really love the team paris sg
<no_ent>,<no_ent>,team paris sg <eou> what is so good about them? <eou> they are always dynamic and love to score goals.
<no_ent>,<no_ent>,paris sg is not always dynamic. <eou> sometimes they tend to make serious mistakes so they are not always dynamic
<no_ent>,<no_ent>,some very serious things. they must improve <eou> paris sg is young they just need more experience. don't you agree?
<no_ent>,<no_ent>,"need more experience. don't you agree? <eou> yes i agree, mbappe will be very good <eou> how old is mbappé"
<no_ent>,<no_ent>,how many bundesliga title win by bayern?
<no_ent>,<no_ent>,title win by bayern? <eou> they have won it 27 times. <eou> i liked they have won it 27 times
<no_ent>,<no_ent>,team in the bundesliga <eou> well that's a matter of opinion .. who do you think is second best though?
<no_ent>,<no_ent>,second best though? <eou> for me it was lewandowski the best of the bayern <eou> what is their current position?
bayern munich,<no_ent>,bayern <eou> what is their current position? <eou> they are placed 2nd <eou> who is they coach of bayern munich?
<no_ent>,<no_ent>,is ronaldo worth the money?
<no_ent>,<no_ent>,to find a promising young player. so yes he is worth the money. <eou> how will real madrid replace ronaldo?
<no_ent>,<no_ent>,ronaldo? <eou> i'm sure real madrid will waste the money somehow on overrated goalkeepers ! <eou> they cant replace ronaldo
<no_ent>,<no_ent>,<eou> they cant replace ronaldo <eou> anybody can be replaced. <eou> real madrid sold ronaldo. does ronaldo miss real madrid?
<no_ent>,<no_ent>,i missed him for everything that led me to madrid <eou> will bale emerge as a leader for real madrid?
<no_ent>,<no_ent>,did italy win the championship in soccer last year?
<no_ent>,<no_ent>,did italy win the championship in soccer last year? <eou> no <eou> did italy win a match?
<no_ent>,<no_ent>,did italy win a match? <eou> italy won at least 3 matches. <eou> only 3? did they have any draws?
<no_ent>,<no_ent>,any draws? <eou> italy never even qualified for the fifa world cup <eou> what city is italy's team based in?
<no_ent>,<no_ent>,team based in? <eou> wikipedia shows their major training ground is in florence. <eou> what is italy's worst soccer player?
<no_ent>,<no_ent>,i admire belgium
<no_ent>,<no_ent>,"yes, they are a strong european side <eou> what do you think their chances are at the 2020 euro cup?"
<no_ent>,<no_ent>,"do not condo in this, i do not think they win the euro cup, but it is a great team"
<no_ent>,<no_ent>,strong contenders with france and england for euro 2020. <eou> who do you want to win the next world cup?
<no_ent>,<no_ent>,a great team. <eou> belgium can win a world cup in the future and france and england are tremendous match
<no_ent>,<no_ent>,i like the team argentina
<no_ent>,<no_ent>,i like the team argentina <eou> i dont <eou> how popular is argentina with soccer fans?
<no_ent>,<no_ent>,"is one of the most popular teams. <eou> argentina is one of the most popular teams, thanks to its fans"
<no_ent>,<no_ent>,the most famous teams thanks to his followers <eou> what did you think of argentina's performance in the world cup?
<no_ent>,<no_ent>,performance in the world cup? <eou> argentina gave pity in the last world cup <eou> how old is argentina now?
<no_ent>,<no_ent>,when did sweden debut for fifa?
<no_ent>,<no_ent>,sweden debut for fifa? <eou> their world cup debute was in 1934. <eou> when did sweden play final in wc?
<no_ent>,<no_ent>,in wc? <eou> i don't think they were in finals. <eou> how far did sweden get in the 2018 wc?
<no_ent>,<no_ent>,in the 2018 wc? <eou> i believe sweden only got the quarterfinals <eou> what is the net worth of sweden?
<no_ent>,<no_ent>,net worth of sweden? <eou> that is a difficult question for a national team <eou> what are their jersey colors?
<no_ent>,<no_ent>,who is bvb dortmund best defenseman?
<no_ent>,<no_ent>,who is bvb dortmund best defenseman? <eou> sokratis. <eou> hummells
<no_ent>,<no_ent>,bvb dortmund best defenseman? <eou> sokratis. <eou> hummells <eou> i agree with hummels. <eou> is hummels eligible for wc next?
<no_ent>,<no_ent>,<eou> is hummels eligible for wc next? <eou> i am not sure <eou> dortmund is one of the best clubs
<no_ent>,<no_ent>,before bvb dortmund? <eou> hummels played for bayern munich before bvb dortmund. which team did he play more matches for?
<no_ent>,<no_ent>,i love the team italy
italy,<no_ent>,italy <eou> i was not sure italy had a team before this prompt. <eou> who is the coach for italy?
italy,italy,prompt. <eou> who is the coach for italy? <eou> i think roberto mancini <eou> who is the captain of italy?
italy,bayern munich,<eou> i think roberto mancini <eou> who is the captain of italy? <eou> chiellini <eou> which position does he play?
<no_ent>,<no_ent>,of italy? <eou> chiellini <eou> which position does he play? <eou> chiellini is a defender. <eou> do you know him?
<no_ent>,<no_ent>,will allison be the goalkeeper liverpool needs to win trophies?
<no_ent>,<no_ent>,be the goalkeeper liverpool needs to win trophies? <eou> he was a good acquisition. <eou> or karius will be haha!
<no_ent>,<no_ent>,<eou> karius has potential... <eou> did karius deserve the criticism for the mistakes he made in the champion's league final?
<no_ent>,<no_ent>,several times since so perhaps it wasn't just bad luck on his part. <eou> do you think karius will improve?
<no_ent>,<no_ent>,long as he is able to play more first team football. he may need to leave liverpool to achieve this.
<no_ent>,<no_ent>,why do you think switzerland beat northern ireland?
<no_ent>,<no_ent>,why do you think switzerland beat northern ireland? <eou> they have better players <eou> what's the unique point about them?
<no_ent>,<no_ent>,"to help the swiss team (see akanji, embolo, shaqiri, xhaka, etc.). <eou> ya i could see that helping a lot."
<no_ent>,<no_ent>,helping a lot. <eou> q1:its is cooling place? a1:yes <eou> switzerland is cool and the altitude helps with endurance training
<no_ent>,<no_ent>,that the switzerlabd team has ever nade it in the world cup? <eou> has switzerland ever won the world cup?
<no_ent>,<no_ent>,i love real madrid
<no_ent>,<no_ent>,i love real madrid <eou> i'm not really a fan. <eou> who is real madrid's best player?
<no_ent>,<no_ent>,player of all time has been voted ronoaldo <eou> indeed real madrid's best player was ronaldo to bad he left.
<no_ent>,<no_ent>,was ronaldo to bad he left. <eou> they have toni kroos now <eou> will he do it for real madrid?
<no_ent>,<no_ent>,real madrid? <eou> the best player currently in real madrid is modric <eou> are they the best in their league?
<no_ent>,<no_ent>,i love belgium
belgium,<no_ent>,i think eden hazard is a great forward. <eou> what position does hazard play in this team? i'm not familiar.
<no_ent>,<no_ent>,"<eou> i'm familiar, i think it's a good forward <eou> got it, did he score many goals this world cup?"
<no_ent>,<no_ent>,"it, did he score many goals this world cup? <eou> yes, he scored <eou> who played for belgium this year?"
<no_ent>,<no_ent>,"<eou> yes, he scored <eou> who played for belgium this year? <eou> eden hazard. <eou> who else played for belgium?"
<no_ent>,<no_ent>,who coaches the icelandic team?
<no_ent>,<no_ent>,who coaches the icelandic team? <eou> erik hamrén is the coach <eou> how long has he do e that ?
iceland,<no_ent>,coach <eou> how long has he do e that ? <eou> since 2013. <eou> what position does gylfi sigurdsson play?
iceland,<no_ent>,what position does gylfi sigurdsson play? <eou> gylfi sigurdsson is their attacking midfielder. <eou> who is the goalie for iceland?
<no_ent>,<no_ent>,sigurdsson is their attacking midfielder. <eou> who is the goalie for iceland? <eou> hannes halldórsson <eou> didn't halldorsson just retire?
<no_ent>,<no_ent>,is thibaut courtois still the goalkeeper for real madrid?
<no_ent>,<no_ent>,"tell anyone then yes, he is still the goalkeeper for real madrid. <eou> how will they do with ronaldo gone?"
<no_ent>,<no_ent>,other good players. it's not a big deal that he's gone. <eou> one of the best goalkeepers in the world
<no_ent>,<no_ent>,world <eou> real madrid will miss navas! courtois will struggle with real madrid. <eou> will real madrid win la liga
<no_ent>,<no_ent>,good players <eou> real madrid has always had the best goalkeepers and midfielders is the best team in the world
<no_ent>,<no_ent>,what is the highest world cup finish that switzerland has achieved?
<no_ent>,<no_ent>,"be reminded of, by going out in the last 16 despite not having conceded a goal in the whole tournament"
<no_ent>,<no_ent>,<eou> they did not score until the 3rd game. <eou> how many times have switzerland qualified for the world cup?
<no_ent>,<no_ent>,for the world cup 11 times. <eou> do think they would have done better this year with a different coach?
<no_ent>,<no_ent>,to do it better so they were fine <eou> how many goals did switzerland scored in the 2018 world cup?
<no_ent>,<no_ent>,i absolutely adore chelsea
<no_ent>,<no_ent>,adore chelsea <eou> chelsea are cool but their owner is a crazy person. <eou> what makes the owner so crazy?
<no_ent>,<no_ent>,so crazy? <eou> he has let too many good players get away <eou> maybe he thinks he can afford it
<no_ent>,<no_ent>,it <eou> they will get back to being good. <eou> chelsea are so far behind man city at the moment
<no_ent>,<no_ent>,behind man city at the moment <eou> they are indeed so far behind <eou> how many games behind are they?
<no_ent>,<no_ent>,barcelona has how many spaniards on their roster?
<no_ent>,<no_ent>,barcelona has how many spaniards on their roster? <eou> barcelona has 10 spaniards. <eou> this year yes?
<no_ent>,<no_ent>,how many players are on your team?
<no_ent>,<no_ent>,how many players are on your team? <eou> there are 11 players. <eou> how many players fill switzerland's roster?
<no_ent>,<no_ent>,<eou> how many players fill switzerland's roster? <eou> 11 outfield. <eou> how many of switzerland's roster are from switzerland originally?
<no_ent>,<no_ent>,<eou> how many of switzerland's roster are from switzerland originally? <eou> the vast majority <eou> are their any turkish players?
<no_ent>,<no_ent>,originally? <eou> the vast majority <eou> are their any turkish players? <eou> no. <eou> we’re are switzerland ranked in fifa
<no_ent>,<no_ent>,do you think the attitude of the referees play a role in how many people get carded?
<no_ent>,<no_ent>,"think it is harder to referee a football game now, especially with so many tv cameras pointed at the game?"
<no_ent>,<no_ent>,"multiple cameras that see way more than they possibly can. <eou> world cup 2026 host by usa, mexico and canada"
<no_ent>,<no_ent>,"can. <eou> world cup 2026 host by usa, mexico and canada <eou> correct. <eou> who is the most popular player?"
<no_ent>,<no_ent>,i like team
<no_ent>,<no_ent>,i like team <eou> they are one of the better european sides <eou> is messi is playing tonight?
<no_ent>,<no_ent>,"is playing <eou> is one of the better europeans team.. besides, they have the best player of the world, messi."
<no_ent>,<no_ent>,"best player of the world, messi. <eou> messi will be leaving barcelona soon. <eou> barcelona flag what is color ?"
<no_ent>,<no_ent>,barcelona flag what is color ? <eou> barcelona is red and yellow <eou> what is the fc barcelona stadium called?
<no_ent>,<no_ent>,what place did nigeria come in the african cuo
<no_ent>,<no_ent>,what place did nigeria come in the african cuo <eou> nigeria came in second place. <eou> who beat nigeria?
<no_ent>,<no_ent>,the african cuo <eou> nigeria came in second place. <eou> who beat nigeria? <eou> liverpool won. <eou> that is true.
<no_ent>,<no_ent>,true. <eou> nigeria just can't catch a break. <eou> nigeria if i should take rest because it is a country
<no_ent>,<no_ent>,you can not play against liverpool because nigeria is a national team <eou> can nigeria win the next african cup?
<no_ent>,<no_ent>,what is the name of the arena where bayern munich plays?
bayern munich,<no_ent>,arena where bayern munich plays? <eou> fc bayern plays in the allianz arena <eou> and what is the capacity ?
<no_ent>,<no_ent>,"the allianz arena <eou> and what is the capacity ? <eou> 75,000 people <eou> will bayern munich win the bundasliga"
<no_ent>,<no_ent>,win the bundasliga <eou> i think they might be the favoriet <eou> what is the captain of the bayern called
<no_ent>,<no_ent>,"captain of the bayern called <eou> the bayern munich captain is philipp lahm. <eou> well, actually phillip retired, didn't he?"
<no_ent>,<no_ent>,i absolutely adore colombia
<no_ent>,<no_ent>,"i absolutely adore colombia <eou> i like colombia, go falcao ! <eou> can falcao continue to perfrom at that level?"
<no_ent>,<no_ent>,level? <eou> if i like colombia and i want to see falcao in the same <eou> who is the coach?
<no_ent>,<no_ent>,<eou> who is the coach? <eou> josé pékerman <eou> can he bring glory to this team in the next cup?
<no_ent>,<no_ent>,but i think they can do as well as the previous time. <eou> if i agree that they can improve
<no_ent>,<no_ent>,"i really like france's playing style, do you?"
<no_ent>,<no_ent>,"you? <eou> no, france plays too much of a countering game. <eou> what do you think france should do instead?"
<no_ent>,<no_ent>,"same gameplan. <eou> i really like france's playing style, do you? no, france plays too much of a countering game."
<no_ent>,<no_ent>,"yes, france plays too well to counteract everything <eou> what is the rating of the france team in last match?"
<no_ent>,<no_ent>,"rating of the france team in last match? <eou> in my opinion, 4.8*. <eou> yes, i agree with this conversation"
<no_ent>,<no_ent>,france is one of my favorite football team
<no_ent>,<no_ent>,to watch and i'm very sympathetic to their players. <eou> do you think they deserved to win the world cup?
<no_ent>,<no_ent>,france deserved to win the world cup <eou> i very much agree that france won the cup with enough authority
<no_ent>,<no_ent>,really any other teams that meshed as well together as the french team did. <eou> will they win in 2022?
<no_ent>,<no_ent>,"chance, but four years is a long time. <eou> what improvements do you think france need to make to win?"
<no_ent>,<no_ent>,name the fc porto stadium?
<no_ent>,<no_ent>,name the fc porto stadium? <eou> estádio do dragão. <eou> who is fc porto top goal scorer?
fc. porto,<no_ent>,<eou> who is fc porto top goal scorer? <eou> jackson martinez <eou> how many goals did he score last season?
<no_ent>,<no_ent>,many goals did he score last season? <eou> he scored atleast 3 <eou> jackson martinez is born in which country?
<no_ent>,<no_ent>,which country? <eou> i think colombia <eou> when was the last time fc porto made it to the ucl finals?
<no_ent>,<no_ent>,love uruguay
<no_ent>,<no_ent>,love uruguay <eou> uruguay are good but i don't like suazrez. <eou> i like godin better than suazrez.
<no_ent>,<no_ent>,"you cannot say that suarez is not talented <eou> who would you rather have on your team, suarez or cavani?"
<no_ent>,<no_ent>,"your team, suarez or cavani? <eou> cavani <eou> do you think they will qualify for the next world cup easily?"
<no_ent>,<no_ent>,qualify for the next world cup easily? <eou> yes it should be rather easy path to qualifications <eou> i agree
<no_ent>,<no_ent>,do you think real madrid will win la liga this year?
<no_ent>,<no_ent>,think they will <eou> what do you think about the future of real madrid this year in all the competitions?
<no_ent>,<no_ent>,competitions? <eou> i think that they have a great future ahead of them <eou> who is real madrid's current manager?
real madrid,atletico madrid,who is real madrid's current manager? <eou> santiago solari is the new coach <eou> who is the chairman of madrid?
<no_ent>,<no_ent>,coach <eou> who is the chairman of madrid? <eou> florentino perez is the chairman <eou> what is their stadium name?
<no_ent>,<no_ent>,has senegal ever won a world cup?
<no_ent>,<no_ent>,"has senegal ever won a world cup? <eou> no, senegal has never won a world cup. <eou> good short senegal"
<no_ent>,<no_ent>,i don't think senegal is the best team from africa. i think it's nigeria. who do you think it is?
<no_ent>,<no_ent>,from africa. i think it's nigeria. who do you think it is? <eou> senegal <eou> is senegal last in africa?
<no_ent>,<no_ent>,what is the name of your goalie?
<no_ent>,<no_ent>,what is the name of your goalie? <eou> have no idea. <eou> isn't it danijel subašić?
<no_ent>,<no_ent>,of your goalie? <eou> have no idea. <eou> isn't it danijel subašić? <eou> yes! <eou> he is a great goalkeeper
<no_ent>,<no_ent>,"<eou> yes, he is a goal keeper. <eou> i think he is the best goalkeeper in the history of croatia"
<no_ent>,<no_ent>,best goalkeeper in the history of croatia <eou> how many saves has he made? <eou> croatia has the bestpp layers
<no_ent>,<no_ent>,how many appearances did lionel messi for argentina?
<no_ent>,<no_ent>,how many appearances did lionel messi for argentina? <eou> about 29 <eou> who is argentinas all time top scorer?
<no_ent>,<no_ent>,"<eou> who is argentinas all time top scorer? <eou> lionel messi <eou> who is the best argentinian, maradona or messi?"
<no_ent>,<no_ent>,"is the best argentinian, maradona or messi? <eou> i am going to say messi <eou> what color are their shirts?"
<no_ent>,<no_ent>,color are their shirts? <eou> blue and red with which the <eou> why does aguero play so bad for argentina?
<no_ent>,<no_ent>,diego costa plays in atletico madrid?
<no_ent>,<no_ent>,diego costa plays for atletico madrid. <eou> do you think they have a chance to win la liga this year?
<no_ent>,<no_ent>,madrid will be hard to beat. <eou> will filipe luis remain with athletico madrid or move to psg this season?
<no_ent>,<no_ent>,think he'll stay in the team. the manager is a big fan of his <eou> what is his net worth?
<no_ent>,<no_ent>,of his <eou> what is his net worth? <eou> about 16 million <eou> what is the net worth of griezmann?
<no_ent>,<no_ent>,who was liverpool's first black player?
<no_ent>,<no_ent>,black player? <eou> have they ever had a black player? <eou> yes they have had a number of black players
<no_ent>,<no_ent>,winger in the 80s and 90s. good for liverpool but terrible for england. waddle and hoddle were both much better.
<no_ent>,<no_ent>,a question is that? i don't think it matters what color the players are as long as they play well
<no_ent>,<no_ent>,you play the game and how much efford you put into it. what was the first name of liverpool fc?
<no_ent>,<no_ent>,i really like this team
<no_ent>,<no_ent>,"i really like this team <eou> yes,defenately me too. <eou> which team are you support? i like all the team"
<no_ent>,<no_ent>,"<eou> how can you like all of them? you must have a favorite. <eou> which do you ""really"" like exactly?"
<no_ent>,<no_ent>,i like ice cream with peanuts and whipped cream. <eou> who do you want to win the european cup 2020?
<no_ent>,<no_ent>,world cup and it would mean a lot to the fans. <eou> how long has croatia had an organized team?
<no_ent>,<no_ent>,"liverpool is the best english team, is not it?"
<no_ent>,<no_ent>,was. this means manchester city is a better team than liverpool. <eou> is the older team always the better team?
<no_ent>,<no_ent>,<eou> is the older team always the better team? <eou> no <eou> i consider that liverpool is the best team
<no_ent>,<no_ent>,the liverpool for having reached the final of the champions <eou> what are your criteria for deciding the best team?
liverpool,<no_ent>,"<eou> at the end of the season, the team that lifted the most major trophies. <eou> who is liverpools coach?"
<no_ent>,<no_ent>,who is the best player?
<no_ent>,<no_ent>,player of all time. <eou> did cristiano ronaldo's move from real madrid to juventis affect his reputation as a player?
<no_ent>,<no_ent>,"neighborhood to another, obviously your reputation would be effected. <eou> pelé is definitely the best of all time no doubt"
<no_ent>,<no_ent>,"me it is also the best of all times <eou> in my opinion, its reputation and performance are not affected"
<no_ent>,<no_ent>,and performance are not affected <eou> i think it will be affected. <eou> do you like watching real madrid play?
<no_ent>,<no_ent>,i really love the team atletico madrid
<no_ent>,<no_ent>,"atletico madrid is a newer team, but they have a lot of potential. <eou> when was team atletico madrid created?"
atletico madrid,atletico madrid,atletico madrid created? <eou> it was founded on the 26 april 1903 <eou> who is the coach of atletico madrid?
<no_ent>,<no_ent>,<eou> who is the coach of atletico madrid? <eou> diego simeone <eou> who is number 10 of the atletico madrid
atletico madrid,atletico madrid,who is number 10 of the atletico madrid <eou> angel correa is number 10 <eou> what position does correa play?
<no_ent>,<no_ent>,i absolutely adore arsenal
<no_ent>,<no_ent>,<eou> i will like them if they win the national champsionship. <eou> when did arsenal last win the national championship?
<no_ent>,<no_ent>,arsenal last win the national championship? <eou> in 2015 <eou> is arsenal pronounced the same as a cache of weapons?
<no_ent>,<no_ent>,arsenal pronounced the same as a cache of weapons? <eou> yes. <eou> did arsenal take the first win this year
<no_ent>,<no_ent>,<eou> yes arsenal was strong this year and won their first match. <eou> have the arsenal won any other matches?
<no_ent>,<no_ent>,i really love the team chelsea
<no_ent>,<no_ent>,i really love the team chelsea <eou> i consider them over-rated <eou> why do you consider chelsea overrated?
<no_ent>,<no_ent>,"the chelsea team earns few titles a year <eou> i agree with this, that the shelsea is a great team"
<no_ent>,<no_ent>,how do you think they'll fair in the epl this season? <eou> who was chelsea's best player of all time?
<no_ent>,<no_ent>,who was chelsea's best player of all time? <eou> diego costa <eou> who was their best manager of all time?
<no_ent>,<no_ent>,surprised at their performance given zlatans recent retirement
<no_ent>,<no_ent>,a series of surprising wins during the world cup. <eou> do you think their win over germany was just luck?
<no_ent>,<no_ent>,"win over germany was just luck? <eou> totally, couldn't agree more. <eou> they're one of the better northern european countries"
<no_ent>,<no_ent>,<eou> do you think they are better off without zlatan? <eou> perhaps zlatan is considered a distraction for his teamates?
sweden,iceland,for his teamates? <eou> he is a strong act to live up to. <eou> who is the coach of sweden?
<no_ent>,<no_ent>,did iceland play in the 2016 euros?
<no_ent>,<no_ent>,ever have in a major tournament. <eou> what year is the only year that iceland qualified for the world cup?
iceland,<no_ent>,world cup? <eou> iceland was an underdog in the last world cup. <eou> can you mention 3 players of iceland?
<no_ent>,<no_ent>,you mention 3 players of iceland? <eou> gylfi sigurðsson kári árnason ólafur ingi skúlason <eou> who is iceland's best striker.
<no_ent>,<no_ent>,kári árnason ólafur ingi skúlason <eou> who is iceland's best striker. <eou> i like sigurdsson <eou> finnbogason i liked iceland
<no_ent>,<no_ent>,i love senegal
<no_ent>,<no_ent>,for them. i just know too little about them. <eou> where can i get more information about the senegal team?
<no_ent>,<no_ent>,"of its kind still active in the country after genoa's football section (1893). <eou> thank you, that was very informative!"
<no_ent>,<no_ent>,that was very informative! <eou> who is the best all time player? <eou> is senegal a popular team these days?
<no_ent>,<no_ent>,are pretty popular but a lot of people don't enjoy them. <eou> senegal ebbs and flows in fan support online.
<no_ent>,<no_ent>,i love arsenal
<no_ent>,bvb dortmund,i love arsenal <eou> who is their current manager? <eou> wenger out
<no_ent>,<no_ent>,at the end of the 2017/18 season. unai emery is the manager now. <eou> if he is the arsenal manager
<no_ent>,<no_ent>,manager now. <eou> if he is the arsenal manager <eou> no he is not anymore <eou> 1984–1994: nancy and monaco
<no_ent>,<no_ent>,<eou> no he is not anymore <eou> 1984–1994: nancy and monaco <eou> unai emery <eou> who named the arsenal squad?
<no_ent>,<no_ent>,who is currently the top scorer for uruguay?
<no_ent>,<no_ent>,who is currently the top scorer for uruguay? <eou> edinson cavani <eou> who is current goalkeeper coach of uruguay?
<no_ent>,<no_ent>,"of uruguay? <eou> celso otero <eou> yes. celso otero, is the true coach of goalkeepers of the uruguayan national team"
<no_ent>,<no_ent>,i don't think he did a good job with muslera <eou> should uruguay have done better in the world cup
<no_ent>,<no_ent>,", i feel like mexico with more experience and with more endurance can reach the finals on the world cup"
<no_ent>,<no_ent>,are those can neutralize. mexico cut down soccer's most clinical attacking force and made it look decidedly ... <eou> underachievers
<no_ent>,<no_ent>,don't see mexico reaching the finals. parking the bus and playing on the counter can only get you so far.
<no_ent>,<no_ent>,it seems to me that mexico with a little effort can get better and the youngest player is edson alvarez
<no_ent>,<no_ent>,the america defender is among a group of players who must use monday's friendly to build their case for russia
<no_ent>,<no_ent>,who are juventus best players?
<no_ent>,<no_ent>,"the best players are ciro immobile, mauro icardi and paulo dybala. <eou> how long has paulo dybala played for juventus?"
<no_ent>,<no_ent>,"<eou> about 6 years, i believe. <eou> wouldn't you say that cristiano ronaldo is the best player for juventus now?"
<no_ent>,<no_ent>,is the best player for juventus now? <eou> yes. i'm very excited about seeing him play. <eou> yes i like
<no_ent>,<no_ent>,"i like <eou> how old is ronaldo now? <eou> he is 33, not as young as he used to be"
<no_ent>,<no_ent>,like this team
<no_ent>,<no_ent>,"like this team <eou> yes, i like uruguay. <eou> who's your favorite player on the team?"
<no_ent>,<no_ent>,"yes, i like uruguay. <eou> who's your favorite player on the team? <eou> luis suarez <eou> their defense is stingy"
<no_ent>,<no_ent>,offense is fast acting though. <eou> do you believe suarez will be playing for them in the 2022 world cup?
<no_ent>,<no_ent>,a starter anyways. he would be 35. i expect maxi gomez to take his place. <eou> how old is he?
<no_ent>,<no_ent>,i absolutely adore senegal
<no_ent>,<no_ent>,absolutely adore senegal <eou> how much does it cost to see t hem? <eou> where is the senegal team located?
<no_ent>,<no_ent>,lions de la téranga (the lions of teranga) <eou> do you think they did well in this 2018 world cup?
<no_ent>,<no_ent>,"this 2018 world cup? <eou> yes, they do a great job <eou> what does senegal need to be a champion?"
<no_ent>,<no_ent>,"to be a champion? <eou> they need a player like bruno metsu, again! <eou> senegal team is located in africa."
<no_ent>,<no_ent>,i love the team italy
<no_ent>,<no_ent>,i love the team italy <eou> a good team indeed. <eou> is zidane their best player ever?
<no_ent>,<no_ent>,<eou> is zidane their best player ever? <eou> zidane played for france <eou> still no answer on ronaldo v messi
<no_ent>,<no_ent>,no answer on ronaldo v messi <eou> what do you think of italy's uniforms? <eou> i think they are fine
<no_ent>,<no_ent>,"team is rather not doing that well right now, in particular compared to other strong teams like england or spain."
<no_ent>,<no_ent>,i love the team italy
<no_ent>,manchester united,i love the team italy <eou> who is their current manager? <eou> i believe it is antonio conte.
<no_ent>,<no_ent>,if he is the current chelsea coach <eou> he is no longer the coach of chelsea he was of italy
<no_ent>,<no_ent>,was of italy <eou> what is italy's couching staff like now? <eou> do the coaches on italy get paid well>
<no_ent>,<no_ent>,"coaches on italy get paid well> <eou> yes, all coaches are well paid. <eou> who's your favorite player on italy?"
<no_ent>,<no_ent>,do you think france deserved the win against croatia in the final of the world cup?
<no_ent>,<no_ent>,croatia to win because they were underdogs. <eou> do you think the referees favored france in the world cup final?
<no_ent>,<no_ent>,team in the whole tournament. <eou> were you surprised when the croatian player scored an own goal in the final?
<no_ent>,<no_ent>,final? <eou> can france win back to back world cups <eou> yes they got a good chance with there quality
<no_ent>,<no_ent>,defense working in their favor at the moment. <eou> do you think their defense relies too heavily on their goalie?
<no_ent>,<no_ent>,what is the name of f.c. porto's stadium?
<no_ent>,<no_ent>,of f.c. porto's stadium? <eou> estádio do dragão <eou> estádio do dragão is the stadium of fc porto or barcelona?
<no_ent>,<no_ent>,"porto or barcelona? <eou> that is f.c. porto's stadium, barcelona is camp nou <eou> have they ever won the champions?"
<no_ent>,<no_ent>,"ever won the champions? <eou> yes,their coach was jose mourinho at that time. <eou> who is their most valuable goalkeeper?"
<no_ent>,<no_ent>,mourinho at that time. <eou> who is their most valuable goalkeeper? <eou> i'd say vana. <eou> how old is vana?
<no_ent>,<no_ent>,what is considered when choosing players for each position?
<no_ent>,<no_ent>,"position? <eou> speed, ball skill <eou> do coaches get fired from professional soccer teams like they do in american football?"
<no_ent>,<no_ent>,<eou> they can -- mexico and spain both fired their coaches recently. <eou> who is the coach for france's team?
<no_ent>,<no_ent>,"the coach for france's team? <eou> didier deschamps is the coach of france <eou> who is better, messi or cr7?"
<no_ent>,<no_ent>,how did iceland manage to do so well in the world cup?
<no_ent>,<no_ent>,to do so well in the world cup? <eou> iceland players are very good players <eou> work rate is fantastic
<no_ent>,<no_ent>,practice is as important as athletic talent. <eou> plus their youth system actually develops good players that are very technical.
<no_ent>,<no_ent>,"who do you think is their best player? <eou> i'm not sure, which do you think is their best player?"
<no_ent>,<no_ent>,"player? <eou> i'm not sure, which do you think is their best player? <eou> gunnarso <eou> who is iceland's manager?"
france,<no_ent>,france win the world cup?
<no_ent>,<no_ent>,world cup? <eou> yes france won the 2018 world cup. <eou> who was their best player of the world cup?
<no_ent>,<no_ent>,who was their best player of the world cup? <eou> paul pogba <eou> who was the top scorer for france?
france,<no_ent>,who was the top scorer for france? <eou> antoine griezmann <eou> have france won the world cup before this year?
<no_ent>,<no_ent>,what are the age requirements for your team?
<no_ent>,<no_ent>,what are the age requirements for your team? <eou> 16 <eou> do you allow females to play?
<no_ent>,<no_ent>,<eou> do you allow females to play? <eou> yes there are female teams <eou> is female team have good performance?
<no_ent>,<no_ent>,woman can do just about anything a man can do. <eou> especially a belgium woman. they grow beasts of women!
<no_ent>,<no_ent>,"right, the female team is very good team <eou> does the belgium coach have the skills to make them champions?"
<no_ent>,<no_ent>,what is love ?
<no_ent>,<no_ent>,what is love ? <eou> real madrid <eou> what team should real madrid play
<no_ent>,<no_ent>,? <eou> real madrid <eou> what team should real madrid play <eou> with barcelona <eou> which stadium is the best?
<no_ent>,<no_ent>,stadium of juve is very modern like the santiago bernabeu are world class <eou> which team is the best team?
<no_ent>,<no_ent>,"liverpool, if you count the uk as europe <eou> who is in the qualifying league in the france world cup?"
<no_ent>,<no_ent>,luka modric or ivan rakitic best player?
<no_ent>,<no_ent>,luka modric or ivan rakitic best player? <eou> luka modric <eou> what's croatia next match?
<no_ent>,<no_ent>,luka modric <eou> what's croatia next match? <eou> es genial su juego croatia <eou> who is the coach for croatia?
<no_ent>,<no_ent>,croatia <eou> who is the coach for croatia? <eou> juega luka croatia <eou> has croatia won a world cup yet?
<no_ent>,<no_ent>,the nation they have out performed what would be expected of a similarly sized country. <eou> modric el mejor croatia
italy,<no_ent>,who is the current coach of italy?
